"","Level 11 :","Concentrated Fire","Awareness","Level 26 :","Demolition","Agility","Level 46 :","Demolition Engineer","Demolition","","","","","","","","","Level 11 :","Personal Oversight","Fellowship","Level 26 :","Fellowship","Persuasion / Commerce","Level 46 :","Steel Resolve","Lore Imperium","","","","","","","","","Level 11 :","Dash","Awareness","Level 26 :","Demolition","Agility","Level 46 :","Fortress","Demolition","","","","Hot Shot Laspistol","Beggar's Weapon","Beggar's Weapon","","","Level 11 :","Personal Oversight","Fellowship","Level 26 :","Persuasion","Fellowship","Level 46 :","Prepare for an assault!","Lore Imperium","","","Foehammer","Hot Shot Laspistol","Begger's Weapon","Begger's Weapon","","","Level 11 :","Dash","Awareness","Level 26 :","Awareness","Agility","Level 46 :","Fortress","Coercion","","","Hot Shot Lasgun","Quick Firing Las Pistol","Quick Firing Las Pistol","Quick-firing laspistol","","","Level 11 :","Acrobatic Artistry","Sweeping Motions","Level 26 :","Medicae","Agility","Level 46 :","Rising Tempo","Medicae","","","Wrath of Saint Drusus","Elite Chainsword","Karkalla's Honour","Sol Pattern Elite Power Sword","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Perception","Never Stop Believing","Level 27 :","Steady Superiority IV","","Level 47 :","Muzzle Velocity","Demolition","","Weapon Set 2","Longlas / Blast Wave","Nullifying Shotgun","Mars Pattern Shotgun","Scoped Shotgun","","","Level 12 :","Air of Authority","Characteristic Training: PER","Level 27 :","Take and Hold IV","","Level 47 :","Be Vigilant!","Lore Imperium","","Weapon Set 2","Longlas / Blast Wave","Nullifying Shotgun","Mars Pattern Shotgun","Scoped Shotgun","","","Level 12 :","Perception","Field of Fire","Level 27 :","Wild Hunt II","","Level 47 :","Integrity","Demolition","","Weapon Set 2","Modified Lasgun / Longlas","Hot Shot Lasgun / Hunting Rifle","Mezoa-Pattern Lasgun / Sharpshooter Rifle","Necrontech Lasgun / Sol Pattern Long-Las","","","Level 12 :","Air of Authority","Characteristic Training: PER","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Seize the Initiative","Lore Imperium","","Weapon Set 2","Modfied Lasgun","Hot Shot Lasgun","Trophy Lasgun","Necrontech Lasgun","","","Level 12 :","Perception","Field of Fire","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Integrity","Coercion","","Weapon Set 2","Modified Lasgun","Hot Shot Lasgun","Mezoa-Pattern Lasgun","Necrontech Hot Shot Lasgun","","","Level 12 :","Agility","Awareness","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Duellist","Awareness","","Weapon Set 2","","Emergency Cutter","Emergency Cutter","Well-Maintained Rock Saw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Alacrity / Swift Slaughter","Field of Fire","Level 28 :","Awareness","Critical Vesatility","Level 48 :","Contempt for the weak","Agility","","","","","","","","","Level 13 :","Inspiring speech","Lore Imperium","Level 28 :","Opening Strategy","Perception","Level 48 :","Strongpoint","Ballistic Skill","","","","","","","","","Level 13 :","Alacrity","Stronger Together","Level 28 :","Pierce the Armour","","Level 48 :","Expert Finesse","Agility","","","","","","","","","Level 13 :","Inspiring Speech","Lore Imperium","Level 28 :","Against All Odds","","Level 48 :","Personal Involvement","Fellowship","","","","","","","","","Level 13 :","Fired Up","Suppression Fire!","Level 28 :","Against All Odds","","Level 48 :","Brink of Death","Agility","","","","","","","","","Level 13 :","Jinx","Demolition","Level 28 :","Against All Odds","","Level 48 :","Support the Advance","Agility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Hail of Steel","Demolition","Level 29 :","Perception","Suppression Fire!","Level 49 :","Perception","Medicae","","","","","","","","","Level 14 :","Perception","Doing my Part","Level 29 :","Perception","Lore Imperium","Level 49 :","Intelligence","Medicae","","","","","","","","","Level 14 :","Grenadier","Awareness","Level 29 :","Awareness","Perception","Level 49 :","Perception","Medicae","","","","","","","","","Level 14 :","Perception","Doing My Part","Level 29 :","Lore Imperium","Agility","Level 49 :","Perception","Lore Imperium","","","","","","","","","Level 14 :","Unflinching Heroism","Awareness","Level 29 :","Coercion","Perception","Level 49 :","Fellowship","Medicae","","","","","","","","","Level 14 :","Strength","Bloody Requiem","Level 29 :","Demolition","Perception","Level 49 :","Perception","Awareness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Firearm Mastery III","","Level 30 :","Devastating Attack","","Level 50 :","Extermination","Enough Bullets for Everyone","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Finest Hour I","","Level 30 :","Overwhelming Stratagem","","Level 50 :","Eager for Battle","Leader's Assault","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Firearm Mastery II","","Level 30 :","Unflinching Heroism","Ensnare the Prey","Level 50 :","Vital Points","Unpredictable","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Finest Hour I","","Level 30 :","Unflinching Heroism","Fervour","Level 50 :","Eager for Battle","Be Vigilant!","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Firearm Mastery I","","Level 30 :","Las Weapon Expert","Fervour","Level 50 :","Vital Points","Second Skin","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Death Waltz III","","Level 30 :","It Will Not Die","Fervour","Level 50 :","Vital Points","Blade in His Hands","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Breaking Attack","","Level 51 :","Preferred Targets","Medicae","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Telemetric Logis Analyser","","Hand of the righteous ","","Act 2","","","","Level 31 :","Daunting Zone","Grenadier","Level 51 :","Adjusting Frontline","Medicae","","Tactical Analyser","Weapon Optimiser MK-I","Telemetric Logis Analyser","","","","Act 2","","","","Level 31 :","Inspiring Trophy","","Level 51 :","Guidance","Medicae","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Telemetric Logis-Analyser MK-I","","Hand of the Righteous","","Act 2","","","","Level 31 :","Support the advance","","Level 51 :","Logistical Superiority","Commerce","","Tactical Analyser","Weapon Optimiser MK-I","Telemetric Logis Analyser","","","","","","","","Level 31 :","Support the advance","","Level 51 :","Ally coordination","Medicae","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","","","","","","","","","Level 31 :","Stacking the Deck","","Level 51 :","Suppression Fire!","Demolition","","Focal Emitter MK-I","Neural Systems Graft MK-I","","","","Skullcrushers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Perception","Awareness","Level 52 :","Fortress","Residual Power","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Telemetric Logis Analyser","","Hand of the righteous ","","Act 3","","","","Level 32 :","Lore Imperium","Perception","Level 52 :","No Respite","Motive-Force Overload","","Tactical Analyser","Weapon Optimiser MK-I","Telemetric Logis Analyser","","","","Act 3","","","","Level 32 :","Perception","Awareness","Level 52 :","Camaraderie","Residual Power","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Telemetric Logis-Analyser MK-I","","Hand of the Righteous","","Act 3","","","","Level 32 :","Agility","Lore Imperium","Level 52 :","No Respite","Motive-Force Overload","","Tactical Analyser","Weapon Optimiser MK-I","Telemetric Logis Analyser","","","","","","","","Level 32 :","Perception","Coercion","Level 52 :","In the Hero's Footsteps","Residual Power","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Cerebral Inverter","","","","","","","","Level 32 :","Perception","Demolition","Level 52 :","Race Against Death","Unflinching Heroism","","Focal Emitter MK-I","Neural Systems Graft MK-I","Cerebral Inverter MK Tactician","","Pneumatic Assault Grapple MK 'Warrior'","Skullcrushers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Dismantle","Perception","Level 53 :","Controlled Shot","Perception","","Focal Emitter MK Soldier","Weapon Optimiser MK-II","Telemetric Logis-Analyser MK 'Officer'","","Hand of the righteous ","","Act 4","","","","Level 33 :","Intelligence","Critical Zone","Level 53 :","Break Their Ranks!","Intelligence","","Tactical Analyser","Weapon Optimiser MK-II","Telemetric Logis-Analyser MK 'Officer'","","","","Act 4","","","","Level 33 :","Critical Chain","","Level 53 :","Raid","Perception","","Focal Emitter MK 'Hunter'","Weapon Optimiser MK-II","Telemetric Logis-Analyser MK-II","","Hand of the Righteous","","Act 4","","","","Level 33 :","Dawn of Victory","","Level 53 :","Assign Objective","Perception","","Tactical Analyser","Weapon Optimiser MK-II","Telemetric Logis-Analyser MK 'Officer'","Suppression Manipulator","","","","","","","Level 33 :","Personal Involvement","","Level 53 :","Entrench","Fellowship","","Focal Emitter MK Soldier","Weapon Optimiser MK-II","Cerebral Inverter","","","","","","","","Level 33 :","Dawn of Victory","","Level 53 :","Veil of Blades","Perception","","Focal Emitter MK-II","Neural Systems Graft MK-II","Cerebral Inverter MK Tactician","","Pneumatic Assault Grapple MK 'Warrior'","Phase Oscillator MK 'Tactician'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Fellowship","Grenadier","Level 54 :","Eager for Battle","Accustomed to Glory","","","","","","","","Act 5","","","","Level 34 :","Suppression Fire!","","Level 54 :","Attention!","Prepare for an Assault!","","","","","","","","Act 5","","","","Level 34 :","Suppression FIre!","","Level 54 :","Critical Velocity","Kill Squad","","","","","","","","Act 5","","","","Level 34 :","Perception","Suppression Fire!","Level 54 :","Extermination","Primary Objective","","","","","","","","","","","","Level 34 :","Perception","Dual-Weapon Combat","Level 54 :","Eager for Battle","Camaraderie","","","","","","","","","","","","Level 34 :","Perception","Be Smart","Level 54 :","Critical Velocity","Anticipation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Take and Hold II","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Wild Hunt I","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Imperial Navy Breacher","","","","","","","","","","Skill Options","","","","","","","Warp Madness","","","","","","","","","","Skill Options","","","","","","","Borg Build - Electro Priest At Home","","","","","","","","","","Skill Options","","","","","","","Gundancer","","","","","","","","","","Skill Options","","","","","","","Lord Admiral","","","","","","","","","","Skill Options","","","","","","","Fleet Tactician ","","","","","","","","","","Skill Options","","","","","","","Imperial Navy Assassin","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","",""
"","Death World - Navy Officer - Warrior - Weapon Skill +2 / Strength +2 / Toughness +2","","","","","","","","","","Athletics / Carouse","","","","","","","Death World - Navy Officer - Bladedancer - Weapon Skill +2 - Agility +2 - Perception +2 ","","","","","","","","","","Medicae / Awareness / Demolition","","","","","","","Forge World (Subskin Armour) - Navy Officer - Warrior - Weapon Skill +2 / Strength +2 / Toughness +1 / Perception +1","","","","","","","","","","Athletics / Carouse","","","","","","","Fortress World - Navy Officer - Bladedancer - Weapon Skill +2 / Strength +2 / Agility +2 (alt: homeworld forge (locomotive) base xenos 13 / drukhari weap 22 / finesse 24 / Get off Me! 29)","","","","","","","","","","Demolition / Medicae / Awareness","","","","","","","Fortress World - Navy Officer - Warrior - Weapon Skill +2 / Strength +2 / Toughness +1 / Willpower +1","","","","","","","","","","Athletics / Carouse","","","","","","","Voidborn / Navy Officer / Bladedancer / WS +2 / Agi +2 / Per +2 - Master Tactician build using Cerebral Inverter MK 'Tactician' and Be Smart","","","","","","","","","","Medicae / Demolitions / Awareness / Athletics","","","","","","","Forge World (Locomotion System Systems) - Navy Officer - Warrior - Weapon Skill +2 / Agility +2 / Perception +2","","","","","","","","","","Awareness / Athletics","","","","","","","","","","","","","","","","","","","","","",""
"","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Blade Dancer","","","Executioner","","","Exemplar","","","","","","","","","","","Warrior","","","Vanguard","","","Exemplar","","","","","","","","","","","Blade Dancer","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Warrior","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Blade Dancer","","","Master Tactician","","","Exemplar","","","","","","","","","","","Warrior","","","Assassin","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Easy Target","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Blade Dance","","Level 16 :","Forced Repentance","Scourging Strike + Where it hurts","Level 36 :","Peak Condition","Guillotine","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Unyelding Beacon","","Level 36 :","Peak Condition","Rigorous Training","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Blade Dance","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Duellist","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Versitility","","Level 36 :","Peak Condition","Opening Strike","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Blade Dance","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Peak Condition","Bloody Requiem","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Charge","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Open Engagement","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","","","","","","","","","","","","","","","",""
"","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Dismantle","","Helm","Helm of Determination","The Guardian Crown","The Guardian Crown","The Guardian Crown","","","Level 2 :","Medicae","","Level 17 :","Pain Resonance","","Level 37 :","Medicae","All-Encompassing Agony","","Helm","Face of the soverign ","Mechanicus Respirator","Carmine Crown","Carmine Crown","","","Level 2 :","Medicae","","Level 17 :","Defensive Stance","Instant Retribution","Level 37 :","Athletics","Offensive Follow","","Helm","Helm of Determination","The Guardian Crown","The Guardian Crown","The Guardian Crown","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Medicae","Distract","","Helm","Tactical Goggles","The Guardian Crown / Gunslinger's Helm","Tactical Genius / Gunslinger's Helm","Lingering Whisper","","","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Athletics","Dismantle","","Helm","Helm of Determination","The Guardian Crown","The Guardian Crown","The Guardian Crown","","","Level 2 :","Medicae","","Level 17 :","Linchpin","","Level 37 :","Medicae","Hidden Advantage","","Helm","Face of the Sovereign","Face of the Sovereign / Peripheral Visor","Face of the Sovereign / Peripheral Visor","Face of the Sovereign / Peripheral Visor","","","Level 2 :","Medicae","","Level 17 :","Danse Macarbe","","Level 37 :","Awareness","Lethal Concentration","","Helm","Face of the soverign ","Self-calibrating Goggles (malign Influence)","Self-calibrating Goggles / Weakness Detector","Self-calibrating Helm / Vivisector's Visor","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Get off Me!","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Adherent of Mankind","Sanguine Judgement","","","Level 3 :","Death From Above","","Level 18 :","Anatomy Expert","","Level 38 :","Weapon Skill","Power Armour Proficiency","","Armour","Death World Light Flak Armour","Death World Enforcer's Light carapace","Adherent of Mankind","Adherent of Mankind","","","Level 3 :","Endure","","Level 18 :","Counter Attack Stance","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Fortress World Tempestus Carapace","War World Origin Tempestus Elite Carapace","","","Level 3 :","Death From Above","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Death World Light flak armour","Armour of Hidden Promise","Adherent of Mankind","Adherent of Mankind","","","Level 3 :","Endure","","Level 18 :","Always Ready","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Ceramite Storm Trooper","Fortress World Tempestus Carapace","Adherent of Mankind","Adherent of Mankind","","","Level 3 :","Death From Above","","Level 18 :","Reliance","","Level 38 :","Weapon Skill","Calculated Resolve","","Armour","Light Spinner's breastplate","Spinner's Breastplate","Spinner's Breastplate","Adherent of Mankind","","","Level 3 :","Endure","","Level 18 :","Deadly Calculation","","Level 38 :","Weapon Skill","Lethal Precision","","Armour","Death World Light Flak Armour","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","High Spinner Armour","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Daring Breach","Thick skin","Level 19 :","Steady Superiority","","Level 39 :","Forceful Strike","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Malpian Shroud","","","Level 4 :","Death Waltz","Death Warden","Level 19 :","Carnival of Misery","","Level 39 :","Captive Audience","Medicae","","Cloak","Reaper Cape","Pack of Reagents","Pack of Reagents","Pack of Reagents","","","Level 4 :","Daring Breach","Thick Skin","Level 19 :","Unyelding Guard","","Level 39 :","Sworn Enemy","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Malpian Shroud","","","Level 4 :","Death Waltz","Death Warden","Level 19 :","Steady Superiority","","Level 39 :","Captive Audience","Medicae","","Cloak","Von Valacius Cloak","Malpian Shroud / Tactical Backpack","Malpian Shroud / Tactical Backpack","Arch-Militant Cape","","","Level 4 :","Daring Breach","Thick skin","Level 19 :","Steady Superiority","","Level 39 :","Forceful Strike","Athletics","","Cloak","Xenopelt Cloak","Malpian Shroud","Malpian Shroud","Arch-Militant's Cape","","","Level 4 :","Death Waltz","Death Warden","Level 19 :","Orchestrated Firestorm","","Level 39 :","Captive Audience","Medicae","","Cloak","Reaper Cape","Bladedancer's Mantle","Bladedancer's Mantle","High Spinner Cloak / Bladedancer's Mantle","","","Level 4 :","Daring Breach","Desolation","Level 19 :","Dispatch","","Level 39 :","Taunting Scream","Awareness","","Cloak","","Malpian Shroud","Malpian Shroud","Swashbuckler's Cloak / Malpian Shroud","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Exploit Weakness","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Invigorating Resolve","","","Level 5 :","Duelling Mastery","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Sickening Pain","","Neck","","Anatomist's Amulet","Anatomist's Amulet","The Vial of Falstow","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Punish The Imprudent","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Invigorating Resolve","","","Level 5 :","Duelling Mastery","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Destroyer","Dismantle","","Neck","","Invigorating Resolve / Dog Tag","For the defence of Cadia / Invigorating Resolve","For the defence of Cadia / The Vial of Falstow","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Degraded Defence","Exploit Weakness","","Neck","Grace of the Oblivious","Invigorating Resolve","Invigorating Resolve","Wolf Tooth Necklace","","","Level 5 :","Duelling Mastery","Weapon Skill","Level 20 :","Ap +1","Weapon Skill","Level 40 :","Destroyer","Dawn of Victory","","Neck","","Dog Tags","Dog Tags","Onslaught Amulet","","","Level 5 :","Rigorous Training","Weapon Skill","Level 20 :","AP +1","Weapon Skill","Level 40 :","Lethal Threat","Perfect Opening","","Neck","","Invigorating Resolve","Invigorating Resolve","Slicing Symbol / Invigorating Resolve","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Sworn Enemy","Athletics","Level 21 :","Dependable","Weapon Skill","Level 41 :","Weapon Skill","Crowd Kill","","Accessory 1","First Aid Manual","First Aid Manual","First Aid Manual","Hellbrute Horn Trophy","","","Level 6 :","Blood Oath","Medicae","Level 21 :","Weapon Skill","Does it Hurt?","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","Blooddrinker","Chirurgeon's Manual","Chirurgeon's Manual","Voidborn's Pride","","","Level 6 :","Taunting Scream","Athletics","Level 21 :","Weapon Skill","Enduring Shield","Level 41 :","Weapon Skill","Crowd Kill","","Accessory 1","First Aid Manual","Empyrean Transceiver","Empyrean Transceiver","Empyrean Transceiver","","","Level 6 :","Blood Oath","Medicae","Level 21 :","Broad Expertise","Weapon Skill","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","Blooddrinker","Portative Manipulator / Combat Manipulator","Portative Manipulator / Combat Manipulator","Portative Manipulator / Military Combi-Tool","","","Level 6 :","Sworn Enemy","Athletics","Level 21 :","Broad Expertise","Weapon Skill","Level 41 :","Weapon Skill","Easy Target","","Accessory 1","First Aid Manual","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Blood Oath","Medicae","Level 21 :","Weapon Skill","Joint Offensive","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","Blooddrinker","Blooddrinker","Battle Plan","Voidborn's Pride","","","Level 6 :","Break Through","Athletics","Level 21 :","Morbid pirouette","Weapon Skill","Level 41 :","Weapon Skill","Easy Target","","Accessory 1","Blooddrinker","","Iron Cape","Notes on Weaknesses","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Wildfire","Melee Weapon Specialist","Level 42 :","Devastating Attack","Toughness","","Accessory 2","","Combat Manipulator","Combat Manipulator","Blades Clone Field","","","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Reckless Abandon","","Level 42 :","Terrifying Strike","Agility","","Accessory 2","","Diagnostor","Diagnostor","Diagnostor","","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Follow my lead","Athletics","Level 42 :","Wall of Rockcrete","Toughness","","Accessory 2","","Peculiar Trinket","Peculiar Trinket","Peculiar Trinket","","","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Wildfire","Get off Me!","Level 42 :","Kick","Agility","","Accessory 2","Book of war prayers","Pair Holster","Pair Holster","Pair Holster","","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Wildfire","Get off me!","Level 42 :","Devastating Attack","Toughness","","Accessory 2","","Combat Manipulator","Combat Manipulator","Echo of Victory","","","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Inspire","","Level 42 :","Finish the Job","Agility","","Accessory 2","Book of war prayers","Seal of Death","Seal of the Purifier","Bead of Might","","","Level 7 :","Weapon Skill","Fleet Combat Training","Level 22 :","Lore Xenos","Killing Edge","Level 42 :","Elusive Shadow","Agility","","Accessory 2","","","Litany of Exhaustion","Iron Cape / Litany of Exhaustion","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Athletics","Open Engagement","Level 23 :","Athletics","Allout","Level 43 :","Breaking Attack","Power Weapon Expert","","Gloves","Relished Anguish","Adaptive Gloves","Adaptive Gloves","Adaptive Gloves","","","Level 8 :","Awareness","Fleet Combat Training","Level 23 :","Sower of Distress","Lore Xenos","Level 43 :","Unbearable Presence","Calculated Resolve","","Gloves","Gloves of Endurance","Augmented Gloves","Augmented Gloves","Augmented Gloves","","","Level 8 :","Athletics","Impetus","Level 23 :","Beacon of Might","Dual-Weapon Combat","Level 43 :","Wall Of Ferrocrete","Calculated Resolve","","Gloves","Relished Anguish","Adaptive Gloves","Adaptive Gloves","Adaptive Gloves","","","Level 8 :","Awareness","Fleet Combat Training","Level 23 :","Medicae","All out","Level 43 :","Exploit Weakness","Calculated Resolve","","Gloves","Avenger Gauntlets","Augmented Gloves","Gloves of Rapid Desolation / Augmented Gloves","Compensator Gloves / Augmented Gloves","","","Level 8 :","Athletics","Open Engagement","Level 23 :","Athletics","Allout","Level 43 :","Breaking Attack","Hail of Steel","","Gloves","Relished Anguish","Augmented Gloves","Augmented Gloves","Compensator Gloves","","","Level 8 :","Awareness","Fleet Combat Training","Level 23 :","Unwavering Motivation","Medicae","Level 43 :","Undisputed Advantage","Power Armour Proficiency","","Gloves","","Augmented Gloves","Augmented Gloves","Augmented Gloves","","","Level 8 :","Athletics","Shearing Strikes","Level 23 :","Lethality Heightens","","Level 43 :","Lone Killer","Calculated Resolve","","Gloves","Gloves of Endurance","Augmented Gloves","Riposte Gloves / Augmented Gloves","Riposte Gloves / Augmented Gloves","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Dual-Weapon Combat","Level 44 :","Carouse","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","Level 9 :","Death Waltz II","","Level 24 :","Agility","Drukhari Weapon Profeciency","Level 44 :","Awareness","Degraded Defence","","Boots","Smirkisher Boots","Inertia Boots","Inertia Boots","Inertia Boots","","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Get Off Me!","Level 44 :","Carouse","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","Level 9 :","Death Waltz II","","Level 24 :","Agility","Hail of Steel","Level 44 :","Awareness","Extermination","","Boots","Skirmisher Boots","Inertia Boots","Inertia Boots","Inertia Boots","","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Never Stop Believing","Level 44 :","Carouse","Destroyer","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Void Veteran Boots","","","Level 9 :","Death Waltz II","","Level 24 :","Agility","Bloody Mess / Get Into Cover!","Level 44 :","Awareness","Degraded Defence","","Boots","Skirmisher Boots","Inertia Boots","Inertia Boots","Inertia Boots","","","Level 9 :","Daring breach II","","Level 24 :","Agility","Drukhari Weapon Prof","Level 44 :","Athletics","Degraded Defence","","Boots","Smirkisher Boots","Inertia Boots","Inertia Boots","Inertia Boots / Stalking Boots","","","","","","","","","","","","","","","","","",""
