"Warden's Aquila","If the character is an Overseer, using abilities from this archetype grants them (OS bonus) temporary health","(Lex Imperialis DLC)
Boarding the ""Heartless.""
In a crate near the drawbridge, on the sniper's side.","2","","","","","","","","","","","","","","","","","","","","","",""
"Experimental psi-amplifier","A sinister-looking device that fuses Imperial technology with the unholy wisdom of the xenos. Sargon used it to reach the limits of his psychic abilities, but as the saying goes, everything has a price.

The first psychic power used by a character in a round is calculated with a 3-point bonus to their psi rating and always inflicts a psionic haze.","(Lex Imperialis DLC)
Heartless Bridge
From Captain Sargon's body","2","","","","","","","","","","","","","","","","","","","","","",""
"Celestial Eye","The eye's pupil, carved into the tassertium surface, seems infinitely deep. No matter where the amulet is turned, its gaze follows you.

Requires: Persuasion - Heretic

The character gains +(Veil Thinning)% to hit chance and deals (Veil Thinning)% more critical damage.","(Lex Imperialis DLC)
Rogue Trader's Quarters
Trophy from the statue after completing Tassera","2","","","","","","","","","","","","","","","","","","","","","",""
"Aeldari Ranger Sight","Wearer's deadeye shot criticals trigger Expose Weakness on enemy until the end of combat","Chasm","3","","","","","","","","","","","","","","","","","","","","","",""
"Hand of Offence","Wearer melee dmg increase by ( 3 x PR)","Chasm","3","","","","","","","","","","","","","","","","","","","","","",""
"Mystic Ward","At the start of combat, wearer's allies gain deflection = wearer's PR. When ally suffers any damage and loses non-temp wounds the effect is removed","Chasm","3","","","","","","","","","","","","","","","","","","","","","",""
"Shard of Bloodstone","At the beginning of the wearer's turn, all enemies within 3 cell radius gain +1 stack of bleeding for each common effect on this enemy","Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","","","","",""
"Battle Plan","When wearer uses Press the Advantage they and their allies increase their resolve by +2 for 2 rounds","Looting Commisar Arsenal post Kill","3","","","","","","","","","","","","","","","","","","","","","",""
"Luck Thickener","Each time the wearer uses minor psychic power, all alies affected gain +1 stack of thick luck, it allows those affected by thick luck to reroll a failed attack, dodge, parry and then the thick luck is removed","Looting Commisar Arsenal post Kill","3","","","","","","","","","","","","","","","","","","","","","",""
"Seal of the Purifier","Every time when more than 2 targets are damaged by the wielder's area attack, wielder gains +resolve momentum","Looting Commisar Arsenal post Kill","3","","","","","","","","","","","","","","","","","","","","","",""
"Warp Reflex Ring","After triggering psychic phenomena, the wearer restores WPbx2 wounds and gains +PR MP. After triggering perils, the wearer gains 1AP","Looting Commisar Arsenal post Kill","3","","","","","","","","","","","","","","","","","","","","","",""
"Commander's Notes","When wearer uses Combat Locus, the benefits of the targeted zone are multiplied by 4 instead of 2","Commisar Trade, Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","","","","",""
"Shadow Field","At the beginning of combat wearer gains shadow field effect. While under this effect the wearer counts as being in full cover against rranged attacks. Effect is lost upon suffering damage by getting hit from a ranged attack","Yremeryss loot","3","","","","","","","","","","","","","","","","","","","","","",""
"Litany of Exhaustion","Any hit with the wearer's single attacks inflict +1 stack of fatigued, disturbed and perplexed for 2 rounds if the target fails an AGI test. Stacks","Pit, -60 awareness check to the right after enetering location","3","","","","","","","","","","","","","","","","","","","","","",""
"For the Defense of Cadia","When wearer gain versatility stack, gain 3 momentum","Mangled Sector, safe","3","","","","","","","","","","","","","","","","","","","","","",""
"The Last Flash","Whenever wearer is target of AoO, attacker becomes blinded for 1 turn","Escaping the Arena, first Chest","3","","","","","","","","","","","","","","","","","","","","","",""
"Bead of Might","If wearer has 8AP start of turn, gain +30% dmg start of combat","Tervantias, post arena 2nd victory and having to escape       ","","","","","","","","","","","","","","","","","","","","","","",""
"Haemonculus'prism","","Tervantias       ","","","","","","","","","","","","","","","","","","","","","","",""
"Iron Cape","FEL & AGI + 10. Whenever should be decreased to 0 first time in combat, regain 50% max wounds instead","Tervantias       ","","","","","","","","","","","","","","","","","","","","","","",""
"Long Range Aim Lens","Increase Range attack Effective range by BSb / 2","Comorragh: Tervantias       ","","","","","","","","","","","","","","","","","","","","","","",""
"Soldier Acquila Pendant","Whenever wearer hits target with range weapon in melee range, target gains 1 stack of Perplexed. Perplexed: -10 BS, WS, INT, PER for each level of effect","Commisar Trade, Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","","","","",""
"Prey Scanner","At start of combat, inflict prey on target with highest wound without spending prey charge and grant double the bonuses for killing it","Tervintas Trade","3","","","","","","","","","","","","","","","","","","","","","",""
"Provocative Emitter","Whenever wearer dodges an attack, wearer becomes priority target of attacker's attack until next turn","Comorragh: Tervantias       ","","","","","","","","","","","","","","","","","","","","","","",""
"Untuning Combi-Tool","Grants +25 tech-use. If owner has heavy or medium armor equipped, at the start of their first turn in combat they gain +Tech-use/10% armour","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","","","","",""
"Hellbrute Horn Trophy","Wielder gains Relentless Rage ability. This ability reduces wielder's current armour and deflection in half until the end of combat. Wielder's critical damage is increased by +(2*reduced armour)% and their melee attack damage is increased by +(2*reduced deflection)% until the end of comabat. Can be used once per round, stacks","Emperor's Plan system - Eufrates II Hellbrute loot","4","","","","","","","","","","","","","","","","","","","","","",""
"Omnispex","When wearer target 3 or more enemies with one attack, those targets suffer -(INTb*targets)% armour until the ned of combat","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","","","","",""
"Voidborn's Pride","When the wearer kills enemy their medicae increases by 2*resolve until the end of combat. Stacks","Kiberllah's quest on Dargonus","4","","","","","","","","","","","","","","","","","","","","","",""
"Military Combi-Tool","Wearer gains versatility for using consumables. Consumables have 50% chance not to be spent","Drusian Rep 17, pf 63","4","","","","","","","","","","","","","","","","","","","","","",""
"Notes on Weakness","Wearer gains permanent Lethality/10 (round down) bonus to direct dmg. Bonus doubles on hitting openings","Drusian Rep 20, pf 73","","","","","","","","","","","","","","","","","","","","","","",""
"Auto Stimulant","Wearer gain immunity and all previous effects based on unyielding beacon stacks. 6: immune bleed, 9: immune toxin, 12: immune burn","Drusian Rep 19, pf 69","4","","","","","","","","","","","","","","","","","","","","","",""
"Commander's Chrono","Wearer always have highest iniative in combat","Drusian rep 25, pf 91","4","","","","","","","","","","","","","","","","","","","","","",""
"Bladewings","Wearer can spend all MP to move to any cell within movement, does not trigger AoO. End of movement wearer perform melee AoE attack against all adj. enemy","Drusian rep 25. pf89","4","","","","","","","","","","","","","","","","","","","","","",""
"Inquisitorial Badge of Office","Auto pass Coercion Check","Kasballica 22, pf94","4","","","","","","","","","","","","","","","","","","","","","",""
"Impenetrable Shroud","Req. Icono Fanatic. Reduce hit chance of all ranged attack against wearer and allies by 3 x resolve %","Kasballica 26. pf106","4","","","","","","","","","","","","","","","","","","","","","",""
"Armour Piercing Ammo","Single shot and Deadeye shot reduce deflection by dmg dealt","Kasballica 32. pf126","4","","","","","","","","","","","","","","","","","","","","","",""
"Demolition Instruction","Gain +25 Demolition. Area attack deals +Demoltion/10 base dmg","Void 23. pf 69","4","","","","","","","","","","","","","","","","","","","","","",""
"Blade Clones Field","Reroll Parry test on fail. If dual wield, reroll twice","Void 33. pf 114","4","","","","","","","","","","","","","","","","","","","","","",""
"Volition Inhibitor","When wearer used controlled shot, enemy adj to wearer's allies -30% penalty to dodge ","Explorators 24. pf92","4","","","","","","","","","","","","","","","","","","","","","",""
"Elder Flow","Aeldari only. Wearer's first attack during first round of combat cost 0AP. Whenever wearer trigger exploit with attack, treat it as 1 additional exploit","Explorators 31. pf 140","4","","","","","","","","","","","","","","","","","","","","","",""
"Portable Deflector","Wearer auto dodge first hit from each enemy","Explorators 34 pf 148","4","","","","","","","","","","","","","","","","","","","","","",""
"Litany of Empyrean Fury","Every Psy or Navigator power by wearer's ally deals addition + Ally's Resolve Direct dmg to enemy","Explorators 36 pf 156","4","","","","","","","","","","","","","","","","","","","","","",""
"Hexagramic Grace","Add +10 to Logic, Coercion, Persuasion","Janus Colony Event 5 inquisition choice","4","","","","","","","","","","","","","","","","","","","","","",""
"Book of Minor Prayers","Cannot use Psychic or Navigator Power.Gain Lore Imp. resistance to psychi and navigator power","Dargonus event 4","4","","","","","","","","","","","","","","","","","","","","","",""
"Trampled Cult Banner","Enemies targeted by the wearer's Psychi abilities must pass WP -15 test or suffer (10) bleed and blind","Vheabos 6 event","4","","","","","","","","","","","","","","","","","","","","","",""
"Cogni-Simulacrum EF Ultima-Octodecimum","Grant +25 Logic Wearer gain Solve Simulacrum ability that cost 3AP and trigger logic test with -167 penalty. On success, ability removed and item is destroyed and wearer gain Paradox Solved which allows them to use heroic acts regardless of momentum. (BUFF UP ALOT TO USE THIS IN COMBAT. STALL)","Kiava Gama event 6: BIG LOGIC CHECK","4","","","","","","","","","","","","","","","","","","","","","",""
"Saint Cognatius's Ostensorium","When suffering dmg from daemon or warp dmg, inflict burning on all adj. enemies. Burning effects doubled against daemons and psykers","Foulstone event 4","4","","","","","","","","","","","","","","","","","","","","","",""
"Tainted Phylactery","Add +LX / 3 % crit chance against xenos","Dargonus event ","4","","","","","","","","","","","","","","","","","","","","","",""
"Ancient Xenomechanism","When wearer ends turn, deal 3 x INTb with armour pen = INT to all adj. creatures. If number of affected creature > 3, wearer becomes staggered","Vheabos 6 event 6","4","","","","","","","","","","","","","","","","","","","","","",""
"Halo Device ","Uses AGI instead of INT, TGH instead of WP, STR instead of FEL. Immunity to injuries and traumas. Regenerates TGH/2 wounds per turn. +25STR, TGH, AGI and PER. When wearer kills enemy any dmg they deal is increased by +1% until the end of combat, while their INT, WP, FEL are reduced by -1(no less than 1) until the end of combat","Mundus Nullius system - Ruined Palace","","","","","","","","","","","","","","","","","","","","","","",""
"Bayonet Chain Knife ","When wearer attacks a target with any ranged weapon in a 1-cell range that attack inflicts bleeding (10). The target also suffers +25% critical damage to all attacks made against it.","Quetza Temer","","","","","","","","","","","","","","","","","","","","","","",""
"Emerald Cherub Ring","This ring grants the wearer a +5 bonus to Fellowship Tests. It also increases Momentum by 1 for each kill made by the wearer.","World event reward - Hundred Dreams Crossroads - Ice World
Melting the ice","4","","","","","","","","","","","","","","","","","","","","","",""
"Empyrean Transceiver","When targeted by Ally's ability, gain Ally's FEL Temp. Wounds","Kieva Gamma Colony event reward","4","","","","","","","","","","","","","","","","","","","","","",""
"Echo of Victory","When attacking a target within 5 cells with a ranged weapon, the character deals (10 + armor penetration/3)% more damage.","Dargonus Colony Event Reward","","","","","","","","","","","","","","","","","","","","","","",""
"Blood Barrier Emitter","At the start of their turn, the wearer recovers wounds equal to the number of bleeding creatures. If at least 1 wound was recovered that way, 1 fresh injury is removed from the wearer","Quetza Temer - Tervantias Lab","","","","","","","","","","","","","","","","","","","","","","",""
"Litany of the Empyrean Fury","Each psychic power or navigator power used by a character's ally additionally deals direct damage to all enemies in combat equal to (ally's resolve)","(Void Shadows DLC)
Explorators","4","","","","","","","","","","","","","","","","","","","","","",""
"Impenetrable cover","Reduces the hit chance of all ranged attacks against the character and his allies by (3 x Resolve)","(Void Shadows DLC)
Kasballica Mission","4","","","","","","","","","","","","","","","","","","","","","",""
"Voidborn's Pride","A clan heirloom of the Erebis family, it served its former owners faithfully during voidship boardings. The inscription engraved on the hull reads: ""May Naaki and Mattis preserve the light of your souls.""

When a character kills an enemy, their Medicae is increased by (2 x Resolve) until the end of the battle. This effect stacks.","(Void Shadows DLC)
Dargonus, a gift from Clan Erabis","4","","","","","","","","","","","","","","","","","","","","","",""
"Empyrean Grasp","Increases Critical Hit Chance and Melee Critical Damage by (Veil Thinning)%","(Void Shadows DLC)
Fight the Triumph of Slaughter in the Agatus Archides system","4","","","","","","","","","","","","","","","","","","","","","",""
"Portable energy storage","If a character is an Overseer, they can use Recharge (ultimate ability) multiple times per battle, but no more than once per round. The bonuses from this ability do not stack.","(Lex Imperialis DLC)
Explorators","4","","","","","","","","","","","","","","","","","","","","","",""
"Durable shield straps","When using Stalwart Defense, the character gains 3 levels of this ability's effect. Blocking an attack from a marked enemy consumes one level. The block bonus remains the same as the regular version of the ability and lasts as long as the character has at least one level of Stalwart Defense.

The character's counterattacks with this ability receive a +25% critical hit chance.","(Lex Imperialis DLC)
Fellowship of the void","4","","","","","","","","","","","","","","","","","","","","","",""
"Excerpt from Tactica Imperialis","The character's critical damage with pistols is increased by (Knowledge: Imperium / 5)% if the character's Knowledge: Imperium is greater than or equal to 150.","(Lex Imperialis DLC) Only available if you did not bring solomorne to act 3","4","","","","","","","","","","","","","","","","","","","","","",""
"","Rogue Trader, one piece. The inventory contains an exhaustively meticulous list of every possible detail of your body, attire, and personal qualities.

When worn by a Rogue Trader, the wearer gains +(FP/10) to all skills.","(Lex Imperialis DLC)
Leethus, have the clerk fully describe the Rogue Trader","4","","","","","","","","","","","","","","","","","","","","","",""
"","When ordering a Cyber-Mastiff to Protect! a Rogue Trader, the Overseer regains 1 AP. If the Cyber-Mastiff performs a apprehend, the Rogue Trader's attacks against the apprehend target also cause the Cyber-Mastiff to attack it.","(Lex Imperialis DLC)
Leethus, on the Arbiters' Table
Observation check required","4","","","","","","","","","","","","","","","","","","","","","",""
"Vid-Capture Relay","Whenever the wearer's ally is under the effect of Joint Analysis and hits a target with explit the wearer gains +5 Perception","Pasqal personal quest location","4","","","","","","","","","","","","","","","","","","","","","",""
"Ring of Meragon","When a character kills a target for the first time in a round, their next attack automatically hits. Also, if they are an Arbiter, Arbiter abilities used this round can be reused.

The ring is adorned with finely crafted gold letters: ""Severius Meragon, first marshal of this Temple of the Lex Imperialis, who dispensed righteous judgment until the Emperor called his soul.""","(Lex Imperialis DLC)
Palace of Justice, in an excavated chest under the scales statue after the battle","4","","","","","","","","","","","","","","","","","","","","","",""
"Relic Silencer","Wearer does not lose the Elusive effect if they attack from cover","Tomb world Epitaph","","","","","","","","","","","","","","","","","","","","","","",""
"Cruciatum Litany","Each of the wearer's single attacks gains +10% damage for each negative effect on the target","Tomb world Epitaph","","","","","","","","","","","","","","","","","","","","","","",""
"Rosary of Defence","Wearer has a unyielding beacon stack% chance to ignore any incoming damage","Tomb world Epitaph","","","","","","","","","","","","","","","","","","","","","","",""
"Combi-Tool","Commonly found in the hands of the Adeptus Mechanicus cult members, combi-tools are versatile, if somewhat bizarre, mechanical devices. Grants +5 to Tech-Use Tests.","","","","","","","","","","","","","","","","","","","","","","","",""
"Flamer Digi-Weapon","A marvellous compact weapon in a form of a ring allows to fire a stream of flame in a short range. Reloading of Digi-weapon is extremely complicated task and can be performed only on the ship.","","","","","","","","","","","","","","","","","","","","","","","",""
"Forbidden Xenos Compendium","This scripture contains research data and observations on some Xenos species. Grants a +5 bonus to Lore (?enos) Tests.","","","","","","","","","","","","","","","","","","","","","","","",""
"Heart of the Nameless","This item increases Absorption against xeno-enemies by 10%.","","","","","","","","","","","","","","","","","","","","","","","",""
"Imperial Scroll","This scroll contains imperial orders from the old days and grants the owner a +5 bonus to Lore (Imperium) Tests.","","","","","","","","","","","","","","","","","","","","","","","",""
"Instability Detonator","This item grants its wearer a +5 bonus to Tech-use tests. Once per battle: can be used to immediatly remove all Burning and Bleeding effects from enemies in a 10 cell radius. This enemies receive 15+(wearer's Tech-Use)/10 Explosive Damage (with a Penetration of 4).","","","","","","","","","","","","","","","","","","","","","","","",""
"Shifting Combi-Tool","Commonly found in the hands of the Adeptus Mechanicus cult members, combi-tools are versatile, if somewhat bizarre, mechanical devices. Grants +10 to Tech-Use Tests","","","","","","","","","","","","","","","","","","","","","","","",""
"Stimulant Injector","This item reduces Wounds by 6, yet increases Righteous Fury chance by 10%.","","","","","","","","","","","","","","","","","","","","","","","",""
"Target Designator","Whenever wearer hits target with Deadeye Shot, reduce Enemy deflection -1 and stack +1 exploit. Stacks up to 3 times","","","","","","","","","","","","","","","","","","","","","","","",""
"Unholy Object","","","","","","","","","","","","","","","","","","","","","","","","",""
