"Cloaks Name","https://roguetrader.wh40k.wiki/Category:Cloak Description","Locations","Acts","","","","","","","","","","","","","","","","","","","","","",""
"Arch-Militant's Cape","Each of the wearer's critical hits made with ranged weapon increases their melee weapon crit dmg by +STR until the end of combat","Quetza Temer","","","","","","","","","","","","","","","","","","","","","","",""
"Tempestus Carapace Elite Backpack","If wearer;s weapon has base fire rate or strike count 2-4 the parameter is encreased by BSb/3. If it affects ranged weapon recoil is doubled. /// While the wearer's weapon has 5 or more base rof/strike count, hit chance with the burst attacks is increased by 3*BSb. If its a ranged weapon, recoil is negated","Quetza Temer","","","","","","","","","","","","","","","","","","","","","","",""
"Mantle of Extermination","Whenever wearer kills an enemy, allies gain 5% crit chance until wearer's next turn","Drusian rep 26. pf92","4","","","","","","","","","","","","","","","","","","","","","",""
"Cloak of Bloodthirst","If target is bleeding, wearer's melee attack deals 2 x AGI % more dmg","Kasballica 18 pf76","4","","","","","","","","","","","","","","","","","","","","","",""
"Mantle of Extermination","When a character kills an enemy with an area-of-effect attack, that character's allies gain a +5% critical hit chance until their next turn. This effect stacks.","(Void Shadows DLC)
Drusians","4","","","","","","","","","","","","","","","","","","","","","",""
"Bag with Stimulants","When using Carnival of Suffering, the character immediately fully restores health.","(Void Shadows DLC)
Explorators","4","","","","","","","","","","","","","","","","","","","","","",""
"Cloak of Bloodthirst","When attacking a target affected by bleeding in melee combat, the character deals (2 x DEX bonus)% more damage.","(Void Shadows DLC)
Kasballica Mission","4","","","","","","","","","","","","","","","","","","","","","",""
"Emergency Vox-Casters","When a character is injured, their allies, if able, immediately make the attack that costs the fewest AP against their closest enemy.","(Void Shadows DLC)
Fellowship of the void","4","","","","","","","","","","","","","","","","","","","","","",""
"Cloak of Mercy","","(Lex Imperialis DLC)
Quetza Temer, in the ruined temple before meeting the Aeldari
Explosives check required","4","","","","","","","","","","","","","","","","","","","","","",""
"Sensory-Motor Modulator","When using Dash, Dance of Death, Sprint, or Death from Above, the character gains +(DEX bonus + PER bonus)% armor penetration and evasion reduction for the rest of their turn. Stacks up to 3 times.","(Lex Imperialis DLC)
Lethus, in the back crate in the arena with the ambull","4","","","","","","","","","","","","","","","","","","","","","",""
"Reactivator Pack","Restarting does not cost any AP. The targeted familiar gains (4 x FEL bonus) temporary health and a +(4 x FEL bonus) bonus to all stats until the end of the round.","(Lex Imperialis DLC) Leetus From the body of Proctor Adriana Yeager","4","","","","","","","","","","","","","","","","","","","","","",""
"Lady Theodora's Mantle","A robe of xenos hide that once draped Lady Theodora's shoulders. No one remembered it for years, nor the station where it was abandoned.

If there are more enemies than allies in combat at the start of a character's turn, the character deals 20% more damage with melee weapons.","(Lex Imperialis DLC) Leethus","4","","","","","","","","","","","","","","","","","","","","","",""
"Shadowguide cloak","Wearer becomes least priority target as long as no adj enemy (don't really work/finicky)","Kasballica 31. pf126","4","","","","","","","","","","","","","","","","","","","","","",""
"Emergency Vox Caster","Whenever wearer suffer trauma, if possible, all allies immediately attack nearest enemy for with least costing AP attack","Void 29. pf100","4","","","","","","","","","","","","","","","","","","","","","",""
"Bag with Stimulants","Whenever wearer use Carnival of Misery, heal to full","Explorators 32 pf 143","4","","","","","","","","","","","","","","","","","","","","","",""
"Dark Reaver","Drukhari Equipment. When wearer dodges and enemy ranged attack they immediately perform single attack with equipped melee weapon on a random adjacent enemy. This attack has +35% armor pen and parry reduction and can only be performed three times in a single round","AN#8954no01-KT system -Dead World Drukhari Camp (Marazhai required)","5","","","","","","","","","","","","","","","","","","","","","",""
"Holo-Field Emitter","Wielder gains 3 charges of holo-field. When wielder suffers damage 1 charge is removed to prevent dmg. If there are no charges left, damage is not prevented and the wielder becomes staggered until the end of combat","Sanctum of Taaphetus system - Lifeless world","5","","","","","","","","","","","","","","","","","","","","","",""
"Cloaking field Emitter","When wearer moves one of their comabt tactic areas, the bonuses granted by this area are doubled","Neos Charoitus system - Desert World surface","","","","","","","","","","","","","","","","","","","","","","",""
"Bloody Fury Cloak","When wearer kills enemy with melee attack, their attack limit is removed until the end of their turn, but every one of their attacks also deals 10% of the wearer's max wounds direct damage to the wearer","Tomb world Epitaph","","","","","","","","","","","","","","","","","","","","","","",""
"Noble Born Mantle","While in combat the wearer of this cloak gains a +15 bonus to Fellowship whenever there are no enemies in a 4 cell radius.","","","","","","","","","","","","","","","","","","","","","","","",""
"Righteous Fury Cape","Each kill of the wearer increases Righteous Fury chance by 5% (to a maximum of +30%) untill the end of the combat.","","","","","","","","","","","","","","","","","","","","","","","",""
"Xeno-Pelt Cloak","","","","","","","","","","","","","","","","","","","","","","","","",""
