"","https://roguetrader.wh40k.wiki/Trading Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor","","Name","Faction","Reputation","Act","Profit Factor"
"","Power Maul","Fellowship of the Void","1","1","12","","Balanced Maul","Explorators","2","1","14","","Krak Grenade x5","Drusians","3","2","29","","Precise Bolter","Kasballica Mission","2","2","42","","Mark-201.b Augur Array","Imperial Navy","4","2","36","","Familiar Maintenance Station Upgrade Kit III","Curiosity Vendor","0","4","90"
"","[Sol Pattern] Chainsword","Fellowship of the Void","1","1","10","","First Aid Manual","Explorators","3","1","8","","Heavy Bolter","Drusians","3","2","25","","Large Medikit x4","Kasballica Mission","2","2","46","","Flak Ammo Arsenal","Imperial Navy","4","2","38","","Step into the Abyss","Curiosity Vendor","0","4","100"
"","[Mars Pattern] Axe","Fellowship of the Void","2","1","14","","Soulsiphon","Explorators","3","1","10","","Power Claymore","Drusians","4","2","32","","Torment Bracelets","Kasballica Mission","3","2","50","","Assault Ceramite Voidship Plating","Imperial Navy","4","2","39","","Phasing Radiation","Curiosity Vendor","0","4","103"
"","Reaper Cape","Fellowship of the Void","2","1","11","","Gas Cloud Grenade x4","Explorators","3","1","11","","Camaraderie Badge","Drusians","5","2","38","","Drukhari Klaive","Kasballica Mission","4","2","60","","Sunhammer Lance Battery","Imperial Navy","5","2","42","","Blood Feast","Curiosity Vendor","0","4","106"
"","Blinding Grenade x4","Fellowship of the Void","2","1","12","","Needle Ring","Explorators","3","1","13","","[Death World Orign] Enforcer Light Carapace","Drusians","5","2","41","","Anatomist's Amulet","Kasballica Mission","4","2","58","","Gryphonne-Pattern Torpedo Tubes [Plasma]","Imperial Navy","5","2","44","","Pack Hunting","Curiosity Vendor","0","4","110"
"","Veilrender","Fellowship of the Void","2","1","9","","Modfied Lasgun","Explorators","4","1","16","","Multikey x3","Drusians","6","2","20","","Outcast's Visor ","Kasballica Mission","5","2","66","","Thunderstrike Macro-Cannons","Imperial Navy","5","2","45","","Undefiled Aquila","Curiosity Vendor","","4","130"
"","[Retobi-Pattern] Greatsword","Fellowship of the Void","3","1","17","","Metronome","Explorators","4","1","12","","Cloak of Hatred","Drusians","6","2","23","","Fusion Gun","Kasballica Mission","5","2","38","","Glimmer-Pattern Void Shield Array","Imperial Navy","6","2","46","","Consecrated Fangs","Curiosity Vendor","","4","130"
"","Pneumo Boots","Fellowship of the Void","3","1","11","","Ceramite Storm Trooper Carapace","Explorators","4","1","18","","Armour of the final threshold","Drusians","6","2","42","","Dark Lance","Kasballica Mission","5","2","64","","Stygie-Pattern Macro-Battery","Imperial Navy","6","2","48","","His Light Bearer","Curiosity Vendor","","4","130"
"","[War World Origin] Flak Chestplate","Fellowship of the Void","3","1","16","","Neuro-Haptic Amplifier","Explorators","4","1","20","","Dark Visionary Hood","Drusians","7","2","29","","Kasrkin Gauntlets","Kasballica Mission","6","2","46","","Jovian-Pattern CLass 1 Drive","Imperial Navy","6","2","49","","No Mercy for the Unclean","Curiosity Vendor","","4","130"
"","Fire Grenade x5","Fellowship of the Void","3","1","13","","Medikit x3","Explorators","0","2","10","","Rusty Heavy Rock Saw","Drusians","7","2","27","","Swordsman Bodyglove","Kasballica Mission","6","2","58","","Power Shield Amplifier","Imperial Navy","7","2","54","","Model of Loyalty","Curiosity Vendor","","4","130"
"","Medal of Alacrity","Fellowship of the Void","3","1","20","","Stimm x5","Explorators","0","2","12","","Reconstructed Flamer Pistol","Drusians","8","2","35","","Psyker's Breastplate","Kasballica Mission","7","2","62","","Scrap Box x5","Imperial Navy","7","2","","","Immaterium Catalyst","Curiosity Vendor","","4","130"
"","Reflective Shield","Fellowship of the Void","4","1","21","","Deflection Gloves","Explorators","0","2","14","","Spinner's Breastplate","Drusians","8","2","32","","Calibrated Heavy Stubber","Kasballica Mission","7","2","35","","Bomber Deck [Starhawk Bombers]","Imperial Navy","7","2","59","","Devotion of the Aquila","Curiosity Vendor","","4","130"
"","Navy Swashbuckler's Coat","Fellowship of the Void","0","2","18 / 13","","Machine Rite Set x4","Explorators","0","2","16","","Large Medikit x4","Drusians","9","2","38","","Tacticial Boots","Kasballica Mission","7","2","35","","Fortis-Pattern Torpedo Tubes [Melta]","Imperial Navy","8","2","63","","Vigil Unending","Curiosity Vendor","","4","130"
"","Medikit x2","Fellowship of the Void","0","2","16 / 11","","Target Designator","Explorators","0","2","18","","[War World Origin] Enforcer Carapace","Drusians","9","2","41","","Targeting Visor","Kasballica Mission","8","2","43","","Stygie-Pattern Dual-Module Macro-Battery","Imperial Navy","8","2","65","","Unholy Idol","Curiosity Vendor","","4","130"
"","Intoxicating Elixir x5","Fellowship of the Void","0","2","20 / 15","","Mobile Extractium x3","Explorators","0","2","28","","Solid Shield Enarmes","Drusians","9","2","40","","Warp Guide Staff","Kasballica Mission","8","2","38","","x-470 Ultimo Array","Imperial Navy","8","2","68","","Maddening Winds","Curiosity Vendor","","4","130"
"","Bayonet Knife","Fellowship of the Void","0","2","22 / 17","","Chirugeon's Manual","Explorators","5","2","23","","Death World Warboots","Drusians","10","2","20","","Storm Bolter","Kasballica Mission","9","2","59","","Compound Void Shield Array","Imperial Navy","9","2","72","","Feast of Suffering","Curiosity Vendor","","4","130"
"","Serrated Great Sword","Fellowship of the Void","0","2","10 / 5","","[Retobi-Pattern] Bolter","Explorators","5","2","18","","Radiant Gloves","Drusians","10","2","26","","Ironclad Argument","Kasballica Mission","9","2","67","","Galleon Adamantine Voidship Plating","Imperial Navy","9","2","76","","Dog of War","Curiosity Vendor","","4","130"
"","Monofilament Grenade x5","Fellowship of the Void","4","2","24 / 19","","Webber","Explorators","5","2","18","","Heavy Flamer","Drusians","11","2","32","","Vortex Pendant","Kasballica Mission","10","2","67","","Small Plasma Macro-Cannon","Imperial Navy","9","2","79","","","","","",""
"","Pirate Chainmail","Fellowship of the Void","4","2","25 / 20","","[Retobi-Pattern] Plasma Pistol","Explorators","6","2","26","","Silent Death","Drusians","11","2","32","","Cursebringer","Kasballica Mission","10","2","62","","R-50 Auspex Multi-Band","Imperial Navy","10","2","84","","","","","",""
"","Impulse Boots","Fellowship of the Void","4","2","26 / 21","","Inertia Boots","Explorators","6","2","28","","Martyr's Penance","Drusians","12","2","38","","Heavy Xenomesh","Kasballica Mission","11","2","55","","Fighters Deck [Wrath Starfighters]","Imperial Navy","10","2","87","","","","","",""
"","[Mezoa-Pattern] Autopistol","Fellowship of the Void","5","2","27 / 22","","Portative Manipulator","Explorators","7","2","30","","Triumph of Retribution","Drusians","12","2","36","","The Roar","Kasballica Mission","11","2","55","","Voidsunder Lance Battery","Imperial Navy","10","2","88","","","","","",""
"","Industrial Hammer","Fellowship of the Void","5","2","20 / 15","","[C-Delphim PAttern] Omnissian Axe","Explorators","7","2","26","","Executioner's Gauntlets","Drusians","13","2","43","","[Mezoa-Pattern] Sniper Rifle","Kasballica Mission","12","2","56","","Gyphonne-Pattern Torpedo Tubes [Melta Torpedoes]","Imperial Navy","11","2","95","","","","","",""
"","Brinkwalker Pendant","Fellowship of the Void","6","2","29 / 24","","Will to Live","Explorators","7","2","31","","Roaring Thunder","Drusians","14","2","47","","Bladedancer's Mantle","Kasballica Mission","12","2","56","","Hecutor-Pattern Plasma Battery","Imperial Navy","11","2","99","","","","","",""
"","Acid Spitter","Fellowship of the Void","6","2","30 / 25","","PRecise Lasgun","Explorators","8","2","35","","Seal of Death","Drusians","14","2","46","","Bladedancer's Bracers","Kasballica Mission","13","2","58","","Scrap Container x4","Imperial Navy","11","2","","","","","","",""
"","Staff of endless flame","Fellowship of the Void","7","2","30 / 25","","Large Medikit x3","Explorators","8","2","22","","Condensed Carapace","Drusians","15","2","53","","Bane of Sorrow","Kasballica Mission","14","2","62","","Mars-Pattern Class 3 ""Typhoon"" Engine","Imperial Navy","12","2","103","","","","","",""
"","Apex Predator's Gloves","Fellowship of the Void","8","2","32 / 27","","Combat Manipulator","Explorators","9","2","26","","Flashbang x6","Drusians","16","4","57","","Warp Surge Brooch","Kasballica Mission","15","2","70","","Triple Void Shield Array","Imperial Navy","12","2","105","","","","","",""
"","Needle Pistol","Fellowship of the Void","9","2","34 / 29","","Haywire Grenade x5","Explorators","9","2","28","","Advanced Medikit x6","Drusians","16","4","59","","Red Crystal Staff","Kasballica Mission","16","2","70","","Flak Ammo Arsenal [Upgrade]","Imperial Navy","12","2","107","","","","","",""
"","Melta Charge x3","Fellowship of the Void","9","2","25 / 30","","Self-Calibrating Goggles","Explorators","10","2","32","","Astartes Flamer","Drusians","16","4","58","","[Mezoa-Pattern] Astartes Bolt Pistol","Kasballica Mission","17","4","74","","Archeotech Macro Battery","Imperial Navy","13","2","115","","","","","",""
"","Old Shield","Fellowship of the Void","9","2","36 / 31","","Power Axe","Explorators","11","2","52","","Laurels of Command","Drusians","17","4","60","","Advanced Medikit x3","Kasballica Mission","17","4","78","","Meltabomb Mortar","Imperial Navy","13","2","119","","","","","",""
"","Tactical Backpack","Fellowship of the Void","10","2","36 / 31","","Invigorating Resolve","Explorators","12","2","30","","Military Combi-Tool","Drusians","17","4","63","","Stalking Boots","Kasballica Mission","18","4","78","","Jovian-Pattern Class 4.5 Drive","Imperial Navy","14","2","124","","","","","",""
"","[Retobi-Pattern] Foehammer","Fellowship of the Void","11","2","38 / 33","","Heavy Plasma Gun","Explorators","12","2","40","","Overcharged Plasma Gun","Drusians","18","4","65","","Antitoxin x3","Kasballica Mission","18","4","78","","Military Adamantine Voidship Plating","Imperial Navy","14","2","126","","","","","",""
"","Swashbuckler Cloak","Fellowship of the Void","12","2","40 / 35","","Slick Bodyglove","Explorators","13","2","45","","Psy Focus","Drusians","18","4","67","","Cloak of BLoodthirst","Kasballica Mission","18","4","76","","Archeotech Plasma Battery x2","Imperial Navy","14","2","127","","","","","",""
"","Modified Splinter Pistol","Fellowship of the Void","12","2","42 / 37 ","","Vox-Beacon","Explorators","13","2","52","","Auto Stimulant","Drusians","19","4","69","","Abyssal Conduit","Kasballica Mission","19","4","82","","Scrap Container x5","Imperial Navy","14","2","","","","","","",""
"","Arch-Militant's Boots","Fellowship of the Void","13","2","44 / 39","","[Mezoa-Pattern] Arc Rifle","Explorators","14","2","55","","Battle Stimulator Medikit x2","Drusians","19","4","71","","Laughing God's Pendant","Kasballica Mission","19","4","82","","","Imperial Navy","","4","","","","","","",""
"","[Death World Origin] Armoured Bodyglove","Fellowship of the Void","14","2","45 / 40","","Bead of Concentration","Explorators","15","2","35","","Elite Synth-Leather Boots","Drusians","19","4","70","","Breach of Purgation","Kasballica Mission","20","4","86","","","","","","","","","","","",""
"","Large Medikit x2","Fellowship of the Void","14","2","46 / 41","","Improved Injector","Explorators","16","2","40","","Notes on Weaknesses","Drusians","20","4","73","","[Black Heart Kabal Origin] Kabalite Armour","Kasballica Mission","20","4","86","","","","","","","","","","","",""
"","[Drusus Prime Pattern] Shotgun","Fellowship of the Void","15","2","47 / 42","","Stun Grenade x5","Explorators","16","2","42","","Scout Armour","Drusians","20","4","75","","Slayer's Delight","Kasballica Mission","21","4","90","","","","","","","","","","","",""
"","Breacher Boots","Fellowship of the Void","16","2","49 / 44","","Deadly Repeater","Explorators","17","2","45","","[Sol-Pattern] Power Maul","Drusians","21","4","77","","Dreadmonger Grenade x3","Kasballica Mission","21","4","90","","","","","","","","","","","",""
"","Awakened Nightmare","Fellowship of the Void","16","2","49 / 44","","Visor of Inevitability","Explorators","17","2","44","","Boots of SIlence","Drusians","21","4","79","","Flash x5","Kasballica Mission","22","4","94","","","","","","","","","","","",""
"","Earthbreaker","Fellowship of the Void","17","2","51 / 46","","Force Field Emitter","Explorators","18","2","50","","Virtue of Contempt","Drusians","22","4","81","","Inquisitor's Badge of Office","Kasballica Mission","22","4","94","","","","","","","","","","","",""
"","Swift Shadows","Fellowship of the Void","17","2","51 / 46","","Heavy Shield","Explorators","18","2","52","","Fireproof x5","Drusians","22","4","83","","Steel Triad","Kasballica Mission","22","4","92","","","","","","","","","","","",""
"","Grimoire of the Void","Fellowship of the Void","18","2","52 / 47","","Heavy Emergency Cutter","Explorators","19","2","57","","Improved Heavy Rock Saw","Drusians","22","4","84","","Armour of the Dawn Shadow","Kasballica Mission","22","4","96","","","","","","","","","","","",""
"","[LD-Pattern] Industrial Hammer","Fellowship of the Void","18","2","53 / 48","","Focus Meltagun","Explorators","20","2","60","","Void Veteran Boots","Drusians","22","4","84","","Helliarch's Gloves","Kasballica Mission","23","4","98","","","","","","","","","","","",""
"","Poet's Grace","Fellowship of the Void","19","2","54 / 49","","[Fortress World Origin] Tempestus Carapace","Explorators","21","2","70","","[Sol-Pattern] Meltagun","Drusians","22","4","85","","Battle Stimulator Medikit x6","Kasballica Mission","23","4","98","","","","","","","","","","","",""
"","Precinct Vox-Relay","Fellowship of the Void","20","2","55 / 50","","[Sol-Pattern] Shotgun","Explorators","21","4","71","","Crusade Plate Helmet","Drusians","24","4","85","","Incinerator","Kasballica Mission","23","4","99","","","","","","","","","","","",""
"","Carnage","Fellowship of the Void","21","2","56 / 51","","Advanced Medikit x3","Explorators","22","4","72","","Triumph of Faith","Drusians","24","4","87","","Tyrant","Kasballica Mission","24","4","100","","","","","","","","","","","",""
"","Ynnealith","Fellowship of the Void","21","2","56 / 51","","Omnissiah Holy SYmbol","Explorators","22","4","76","","Sacrifice","Drusians","24","4","86","","Demolitionist's Goggles","Kasballica Mission","24","4","100","","","","","","","","","","","",""
"","Pain Blocker x5","Fellowship of the Void","22","4","60 / 55","","Dark Providence","Explorators","22","4","74","","Bladewings","Drusians","25","4","89","","Breacher's Bracers","Kasballica Mission","24","4","100","","","","","","","","","","","",""
"","Bone-Shatterer","Fellowship of the Void","22","4","63 / 58","","Toxin Grenade x3","Explorators","23","4","80","","Commander's Chrono","Drusians","25","4","91","","Spiked Gloves","Kasballica Mission","24","4","102","","","","","","","","","","","",""
"","Modified Krak Grenade x4","Fellowship of the Void","23","4","66 / 61","","[Mars-Pattern] Power Axe","Explorators","23","4","84","","Improved Power Pick","Drusians","26","4","92","","Blade of the Suffering Collector","Kasballica Mission","24","4","100","","","","","","","","","","","",""
"","Demolition Instructions","Fellowship of the Void","23","4","69 / 64","","Gunnery Shield","Explorators","23","4","82","","Mantle of Extermination","Drusians","26","4","92","","Imminent Torment","Kasballica Mission","24","4","102","","","","","","","","","","","",""
"","Torturer","Fellowship of the Void","23","4","70 / 65","","Improved Lightweight Boots","Explorators","24","4","88","","Iron Grip","Drusians","26","4","93","","[Ryza-Pattern] Astartes Chainsword","Kasballica Mission","25","4","102","","","","","","","","","","","",""
"","[Reaving Tempest Kabal Origin] Incubus Armour","Fellowship of the Void","24","4","72 / 67","","Volition Inhibitor","Explorators","24","4","92","","Boots of Kasrkin","Drusians","27","4","93","","Saboteur's Helmet","Kasballica Mission","25","4","102","","","","","","","","","","","",""
"","Steel Guidance","Fellowship of the Void","24","4","75 / 70","","Neuro-Stimulant x5","Explorators","25","4","96","","Cadian Castellan Carapace","Drusians","27","4","105","","Toxin Grenade x5","Kasballica Mission","26","4","106","","","","","","","","","","","",""
"","Advanced Medikit x3","Fellowship of the Void","28","4","78 / 73","","Solar Staff","Explorators","25","4","100","","High Spinner Armour","Drusians","27","4","92","","Death Dealer Gloves","Kasballica Mission","26","4","106","","","","","","","","","","","",""
"","Astronomican Regalia","Fellowship of the Void","28","4","81 / 76","","Metal CLaw GLoves","Explorators","25","4","100","","Judex","Drusians","28","4","95","","Impenetrable Shroud","Kasballica Mission","26","4","106","","","","","","","","","","","",""
"","Chirurgeon's Boots","Fellowship of the Void","26","4","84 / 79","","[Forge World Origin] Skitarii Ranger Armour","Explorators","26","4","104","","Righteous Justice","Drusians","28","4","72","","Emergency Drill","Kasballica Mission","27","4","108","","","","","","","","","","","",""
"","Anti-Vehicle Revolver","Fellowship of the Void","26","4","87 / 82","","Commander's Visor","Explorators","26","4","108","","Partner in death","Drusians","28","4","95","","Acrobat's Greaves","Kasballica Mission","27","4","108","","","","","","","","","","","",""
"","Onsalught Amulet","Fellowship of the Void","27","4","90 / 85","","Resonance Grenade x3","Explorators","27","4","112","","Staff of the Righteous Pyre","Drusians","29","4","97","","Implacable Tempest","Kasballica Mission","28","4","110","","","","","","","","","","","",""
"","Immobilising Grenade x3","Fellowship of the Void","27","4","93 / 88","","Ancient Plasma Rifle","Explorators","27","4","116","","Modfified Artificer Armour","Drusians","29","4","105","","[Fortress World Origin] Chaos Light Enforcer Carpace","Kasballica Mission","28","4","110","","","","","","","","","","","",""
"","Thought Guide","Fellowship of the Void","27","4","90 / 85","","Holy Power Armour","Explorators","28","4","120","","Cold Blooded","Drusians","29","4","97","","Deadly Dancer Boots","Kasballica Mission","29","4","118","","","","","","","","","","","",""
"","Self-Calibrating Helmet","Fellowship of the Void","28","4","96 / 91","","[Mars-Pattern] Astartes Flamer","Explorators","28","4","124","","Hymn of Vehemence","Drusians","30","4","99","","Crucible of Torment","Kasballica Mission","29","4","116","","","","","","","","","","","",""
"","Double-Barreled Shotgun","Fellowship of the Void","28","4","99 / 94","","[LD-Pattern] Heavy Rock Saw","Explorators","29","4","125","","Undertaker","Drusians","30","4","100","","Staff of Shock and Awe","Kasballica Mission","30","4","118","","","","","","","","","","","",""
"","Enchanted Smuggler's Armour","Fellowship of the Void","28","4","96 / 91","","Modfied Breacher's Armour","Explorators","29","4","126","","Dragon Scale Power Armour","Drusians","31","4","101","","Arbites Underarm Foehammer","Kasballica Mission","30","4","120","","","","","","","","","","","",""
"","Emergency Vox-Casters","Fellowship of the Void","29","4","100 / 95","","Visor of Inevitable Retribution","Explorators","29","4","127","","","","","","","","Shadowguide Cloak","Kasballica Mission","31","4","126","","","","","","","","","","","",""
"","Efficient Breacher's Armour","Fellowship of the Void","29","4","101 / 96","","Adrenaline Injector","Explorators","29","4","128","","","","","","","","Quickeye SPlinter Rifle","Kasballica Mission","31","4","126","","","","","","","","","","","",""
"","Eroding Autogun","Fellowship of the Void","29","4","101 / 96","","Battle Stimulator Medikit x5","Explorators","30","4","128","","","","","","","","Armour-Piercing Ammo","Kasballica Mission","32","4","126","","","","","","","","","","","",""
"","Defender","Fellowship of the Void","29","4","100 / 95","","Vivisector's Visor","Explorators","30","4","132","","","","","","","","Reinforced Voidsman Armour","Kasballica Mission","32","4","101","","","","","","","","","","","",""
"","Insatiable Djin Blade","Fellowship of the Void","29","4","101 / 96","","Omnissiah's Providence","Explorators","31","4","136","","","","","","","","","","","","","","","","","","","","","","","",""
"","Abyss Spinner Gloves","Fellowship of the Void","30","4","102 / 97 ","","Elder Flow","Explorators","31","4","140","","","","","","","","","","","","","","","","","","","","","","","",""
"","Navy Breacher Boots","Fellowship of the Void","30","4","105 / 100","","Smiter","Explorators","32","4","142","","","","","","","","","","","","","","","","","","","","","","","",""
"","Battle Stimulator Medikit x3","Fellowship of the Void","31","4","108 / 103","","Bag with stimulants","Explorators","32","4","143","","","","","","","","","","","","","","","","","","","","","","","",""
"","Slicing Symbol","Fellowship of the Void","31","4","111 / 106","","Portable Motive Force Storage","Explorators","32","4","144","","","","","","","","","","","","","","","","","","","","","","","",""
"","Cultist Armour Plates","Fellowship of the Void","31","4","101 / 96","","Heartbeat Scanner","Explorators","32","4","142","","","","","","","","","","","","","","","","","","","","","","","",""
"","Immaterium's Channeller","Fellowship of the Void","31","4","106 / 101","","[Mars-Pattern] Thunder Hammer","Explorators","33","4","144","","","","","","","","","","","","","","","","","","","","","","","",""
"","Well-Maintained Webber","Fellowship of the Void","32","4","112 / 107","","Advanced Heavy Stubber","Explorators","33","4","145","","","","","","","","","","","","","","","","","","","","","","","",""
"","Dancing on Blood","Fellowship of the Void","32","4","113 / 108","","Portable Deflector","Explorators","34","4","148","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sturdy Shield Straps","Fellowship of the Void","32","4","113 / 108","","[War World Origin] Tempestus Elite Carapace","Explorators","35","4","152","","","","","","","","","","","","","","","","","","","","","","","",""
"","Blades Clone Field","Fellowship of the Void","33","4","114 / 109","","[Sol Pattern] Longlas","Explorators","35","4","150","","","","","","","","","","","","","","","","","","","","","","","",""
"","Warp Grenade x2","Fellowship of the Void","33","4","117 / 112","","[Mars-Pattern] Meltagun","Explorators","36","4","156","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gunnery Shield","Fellowship of the Void","33","4","115 / 110","","Litany of Empyrean Fury","Explorators","36","4","156","","","","","","","","","","","","","","","","","","","","","","","",""
"","Panoply of the Assassin","Fellowship of the Void","34","4","120 / 120","","Annihilating Astartes Bolter","Explorators","37","4","160","","","","","","","","","","","","","","","","","","","","","","","",""
"","Final Chord","Fellowship of the Void","34","4","122 / 117","","Ghost Helm","Explorators","38","4","164","","","","","","","","","","","","","","","","","","","","","","","",""
"","Starmist Scarf","Fellowship of the Void","35","4","123 / 118","","The Pyre","Explorators","38","4","164","","","","","","","","","","","","","","","","","","","","","","","",""
"","Thunder Bearer","Fellowship of the Void","35","4","123 / 118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Compensator Gloves","Fellowship of the Void","36","4","126 / 121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Improved Heavy Bolter","Fellowship of the Void","37","4","129 / 124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bedlam x6","Fellowship of the Void","37","4","127 / 122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Name","Faction","","","Profit Factor","","Name","Faction","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Serrated Glimmersteel Blade","Malice / Commissar","","3","","","Glimmersteel Blade","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ranger Armour","Malice / Commissar","","3","","","Blackhaze Venom Blade","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sharpshooter Boots","Malice / Commissar","","3","","","Freerunner Boots","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sworddancer Cloak","Malice / Commissar","","3","","","Exoskeletal Gloves","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Skin Patches x2","Malice / Commissar","","3","","","Haemonculus's Injector x2","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gladiator's Healing Kit x2","Malice / Commissar","","3","","","Dark Swiftness x2","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Combat Pleasure Stimulant x2","Malice / Commissar","","3","","","Self-Destruct Algorithm","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Pungent Smoke Grenade x3","Malice / Commissar","","3","","","The Smell of Fear","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","The Distortion","Malice / Commissar","","3","","","Law of Equilibrium","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Iron Shield","Malice / Commissar","","3","","","Targeted Harassment","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[Mars-Pattern] Shotgun","Malice / Commissar","","3","","","Steel Triad","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Duelling Sword","Malice / Commissar","","3","","","Astartes Chainsword","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gladiator Mesh Armour","Malice / Commissar","","3","","","Red Wolf Skull","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Intendant Boots","Malice / Commissar","","3","","","Skjald's Furs","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Soldier Aquila Pendant","Malice / Commissar","","3","","","Lullaby of Sha'eil","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Commander's Notes","Malice / Commissar","","3","","","Pitch-Black Desolator","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Skin Patches x2","Malice / Commissar","","3","","","Ceramite Xenochestplate","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gladiator's Healing Kit x2","Malice / Commissar","","3","","","Heartseekers Gloves","Tervantias","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
