"","Level 14 :","Perception","Let them know Fear!","Level 29 :","Commerce / Lore Imperium","Agility","Level 49 :","Ballistic Skill","Medicae","","","","","Level 14 :","Summary Execution","Awareness","Level 29 :","Perception","Las Weapon Expert / Dual-Weapon Combat","Level 49 :","Agility","Demolition","","","[Sol-Pattern] Plasma Pistol / Plasma Pistol with Cyro-Module / Blessed Lamp of Petrakara","","Level 14 :","Toughness","Summary Execution","Level 29 :","Strength","Characteristic Training: Per","Level 49 :","Fellowship","Medicae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Finest Hour I","","Level 30 :","One for the Enemies, Two for the Traitors","Strongpoint","Level 50 :","Degraded Defence","Personal Oversight","","","","","Level 15 :","Firearm Mastery III","","Level 30 :","Devastating Attack","","Level 50 :","Extermination *","Second Skin / Integrity","","","","","Level 15 :","Daring Breach IV","","Level 30 :","Devastating Attack","","Level 50 :","Eager for battle","Desolation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Stronghold","","Level 51 :","Personal Involvement","Medicae","","","","","","","","Level 31 :","Breaking Attack","","Level 51 :","Preferred targets","Demolition","","","","","","","","Level 31 :","Breaking Attack","","Level 51 :","Contempt for the Weak","Medicae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Agility","Commerce / Lore Imperium","Level 52 :","No Respite","For the Emperor!","","","","","","","","Level 32 :","Perception","Awareness","Level 52 :","Accustomed to Glory","Know No Heresy","","","","","","","","Level 32 :","Perception","Coercion","Level 52 :","Preferred Targets","Motivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Dawn of Victory","","Level 53 :","Assign Objective / Finish the job","Perception","","","","","","","","Level 33 :","Critical Versatility","Fellowship","Level 53 :","Controlled Shot","Agility","","","","","","","","Level 33 :","Adaptability","Perception","Level 53 :","Break Through","Fellowship","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Perception","Comradery","Level 54 :","Extermination","Primary Objective","","","","","","","","Level 34 :","Fellowship","Grenadier","Level 54 :","Vital Points","Camaraderie","","","","","","","","Level 34 :","Perception","Comradery","Level 54 :","Extermination","Blade Flurry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","Ap +1","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Company Commander","","","","","","","","","","Skill Options","","","Guard Astra Militarum Commander","","","","","","","","","","Skill Options","","","Lord Commander Militant","","","","","","","","","","Skill Options","","","Dishonourable Discharge - Xeno Heresy","","","","","","","","","","Skill Options","","","Gunslinger Commander","","","","","","","","","","Skill Options","","","Trench Strategist ","","","","","","","","","","Skill Options","","","Grand Astra Militarum Stratagist","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Fortress World - Astra Militarum Commander - Soldier - Ballistic Skill +2 / Agility +2 / Perception +1 / Willpower +1","","","","","","","","","","Awareness / Demolition","","","Imperial (Fellowship) - Astra Militarum Commander - Soldier - +2 Ballistic Score / +2 Agility / +2 Perception","","","","","","","","","","Awareness / Demolition","","","Fortress World - Astra Militarum Commander - Soldier - +2 Ballistic Score / +2 Agility / +2 Perception","","","","","","","","","","Awareness / Demolition","","","Fortress World - Astra Militarum Commander - Soldier - +2 Ballistic Score / +2 Agility / +2 Perception","","","","","","","","","","Awareness / Demolition","","","Fortress World - Astra Militarum Commander - Soldier - Ballistic Skill +2 / Agility +2 / Perception +1 / Willpower +1","","","","","","","","","","Awareness / Demolition","","","Imperial World (Fellowship) - Astra Militarum Commander - Officer - Ballistic Skill +2 / Perception +2 / Fellowship +2","","","","","","","","","","Persuasion, Coercion, Commerce, Lore Imperium","","","Voidborn - Astra Militarum Commander - Officer - Ballistic Skill +2 / Intelligence +2 / Perception +2 (can drop arc talents and build into Commander Lasgun talents - Las rifle version scroll right to the end)","","","","","","","","","","Awareness / Coercion / Commerce / Logic / Lore Imperium / Persuasion /","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Soldier","","","Arch-Militant","","","Exemplar","","","","","","","Soldier","","","Master Tactician","","","Exemplar","","","","","","","Soldier","","","Arch-Militant","","","Exemplar","","","","","","","Soldier","","","Arch-Militant","","","Exemplar","","","","","","","Soldier","","","Bounty Hunter","","","Exemplar","","","","","","","Officer","","","Grand Strategist","","","Exemplar","","","","","","","Officer","","","Grand Strategist","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1 :","Run and Gun","","Level 16 :","Versatility","","Level 36 :","Eager for Battle","Rack and Ruin","","","","","Level 1 :","Run and Gun","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Eagar for Battle","Fortress","","","","","Level 1 :","Run and Gun","","Level 16 :","Versatility","","Level 36 :","Peak Condition","Rack and Ruin","","","","","Level 1 :","Run and Gun","","Level 16 :","Versatility","","Level 36 :","Degraded Defence","Rack and Ruin","","","","","Level 1 :","Run and Gun","","Level 16 :","Hunt Down The Prey","","Level 36 :","Eager for Battle","Rack and Ruin","","","","","Level 1 :","Voice Of Command","","Level 16 :","Combat Tactics","","Level 36 :","Eager for Battle *","Seize the Initiative","","","","","Level 1 :","Voice Of Command","","Level 16 :","Combat Tactics","","Level 36 :","Eager for Battle *","Seize the Initiative","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 2 :","Medicae","","Level 17 :","Wilfire","","Level 37 :","Awareness","Exploit Weakness","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Linchpin","","Level 37 :","Awareness","Stacking the Deck","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Wilfire","","Level 37 :","Awareness","Contempt for the weak","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Wilfire","","Level 37 :","Awareness","Contempt for the weak","","Gear to consider","","","Level 2 :","Medicae","","Level 17 :","Claim the Bounty","","Level 37 :","Awareness","Withdraw","","Gear to consider","","","Level 2 :","Persuasion / Commerce","","Level 17 :","Combat Locus Stratagem","","Level 37 :","Medicae","Sniping Zone","","Gear to consider","","","Level 2 :","Persuasion / Commerce","","Level 17 :","Combat Locus Stratagem","","Level 37 :","Medicae","Sniping Zone","","Gear to consider","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Revel in Slaughter","","Level 18 :","Always Ready","","Level 38 :","Ballistic Skill","Fix Bayonets!","","Helm","Gunslinger Helm / Commissar Cap / Peripheral Visor","","Level 3 :","Revel in Slaughter","","Level 18 :","Reliance","","Level 38 :","Ballistic Skill","Las Weapon Expert","","Helm","Gunslinger Helm / Commissar Cap / Peripheral Visor","","Level 3 :","Revel in Slaughter","","Level 18 :","Always Ready","","Level 38 :","Ballistic Skill","Power Armour Proficiency","","Helm","Gunslinger Helm","","Level 3 :","Revel in Slaughter","","Level 18 :","Always Ready","","Level 38 :","Ballistic Skill","Deadly Accuracy","","Helm","Gunslinger Helm","","Level 3 :","Revel in Slaughter","","Level 18 :","Cut to the Chase","","Level 38 :","Ballistic Skill","Grenadier","","Helm","Gunslinger Helm","","Level 3 :","Bring it Down !","","Level 18 :","Improvised Strategy","","Level 38 :","Fellowship","Better to Die for the emperor!","","Helm","Commander's Monocole / Steel Guidance / Great Librarian Glasses / Poet's Grace / Wrathful Mask","","Level 3 :","Bring it Down !","","Level 18 :","Improvised Strategy","","Level 38 :","Intelligence","Grenadier","","Helm","Commander's Monocole / Steel Guidance / Great Librarian Glasses / Poet's Grace / Wrathful Mask","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Steady Superiority","","Level 39 :","Entrench","Awareness","","Armour","[Hive World Origin] Voidsmen Armour / [Death World Origin] Enforcer Light Carapace","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Orchestrated Firestorm","","Level 39 :","Controlled Shot","Awareness","","Armour","[Hive World Origin] Voidsmen Armour / [Death World Origin] Enforcer Light Carapace","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Steady Superiority","","Level 39 :","Entrench","Awareness","","Armour","Artificer Power Armour","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Steady Superiority","","Level 39 :","Dash","Awareness","","Armour","Artificer Power Armour","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Wild Hunt","","Level 39 :","Entrench","Demolition","","Armour","[Death World] Enforcer's Light carapace / [Hive World Origin] Voidsman Armour / Duellist Armour","","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Take and Hold","","Level 39 :","Take Aim!","Persuasion / Commerce","","Armour","[Death World] Enforcer Light Carapace / [Hiveworld] Voidsman Armour / Breacher's Armour","","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Take and Hold","","Level 39 :","Take Aim!","Persuasion / Commerce","","Armour","[Death World] Enforcer Light Carapace / [Hiveworld] Voidsman Armour / Adaptive Flak Vest / Breacher's Armour","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Degraded Defence","Distract","","Cloak","Tempestus Carapace Elite Backpack / Tactical Backpack","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Degraded Defence","Brink of Death","","Cloak","Tempestus Carapace Elite Backpack / Tactical Backpack","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Degraded Defence","Distract","","Cloak","Tactical Backpack","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Peak Condition","Distract","","Cloak","Tactical Backpack","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","AP +1 - Ballistic Skill","Dual-Weapon Combat","Level 40 :","Degraded Defence","Gruesome Kill","","Cloak","Tactical Backpack / Tempestus Carapace Elite Backpack","","Level 5 :","Ballistic Skill","Trench Warfare","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Firebrand *","Personal Zone","","Cloak","Cloaking field emitter / Von Valancius Cloak / Commander Cloak / Shadowguide Cloak","","Level 5 :","Ballistic Skill","Be Smart","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Firebrand *","Personal Zone","","Cloak","cloaking field emitter / Von Valancius Cloak / Commander Cloak / Shadowguide Cloak","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Flash Fire","Ballistic Skill","Level 41 :","Ballistic Skill","Camraderie","","Neck","Fury Incarnate / Slicing Symbol / Ruby Splash Necklace / Dog Tags / Focus Incense","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Ballistic Skill","Rack and Ruin","","Neck","Onslaught Amulet / Ruby Splash Necklace / Dog Tags / Focus Incense","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Heavy Gunner","Ballistic Skill","Level 41 :","Ballistic Skill","Enough Bullets for Everyone","","Neck","Onslaught Amulet / Ruby Splash Necklace / Dog Tags / Focus Incense","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Heavy Gunner","Ballistic Skill","Level 41 :","Ballistic Skill","Enough Bullets for Everyone","","Neck","Onslaught Amulet / Ruby Splash Necklace / Dog Tags / Focus Incense","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Ballistic Skill","Heightened Concentration","Level 41 :","Ballistic Skill","Enough Bullets for Everyone","","Neck","The VIal of Falstow / Ruby Splash Necklace / Dog Tags / Focus Incense / Wolf Tooth Necklace","","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Personal Combat Zone","Ballistic Skill","Level 41 :","Fellowship","Steady!","","Neck","Medal of Alacrity / Chartist Pendant","","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Personal Combat Zone","Ballistic Skill","Level 41 :","Intelligence","Steady!","","Neck","Medal of Alacrity / Synaptic Coagulator / Warlord's Amulet","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Agility","Trench Warefare","Level 22 :","Reckless Rush","Familiar Kickback","Level 42 :","Kick","Agility","","Accessory 1","Echo of Victory / Demolition Instructions / Litany of Exhaustion","","Level 7 :","Perception","Trench Warfare","Level 22 :","Inspire","","Level 42 :","Ferver","Agility","","Accessory 1","Echo of Victory / Demolition Instructions / Litany of Exhaustion","","Level 7 :","Perception","Never Stop Believing","Level 22 :","Reckless Rush","Breaking Point","Level 42 :","Kick","Perception","","Accessory 1","Echo of Victory / Demolition Instructions / Litany of Exhaustion","","Level 7 :","Perception","Familiar Kickback","Level 22 :","Reckless Rush","Breaking Point","Level 42 :","Kick","Perception","","Accessory 1","Echo of Victory / Demolition Instructions / Litany of Exhaustion","","Level 7 :","Agility","Trench Warfare","Level 22 :","Cull the bold","","Level 42 :","Hot on the trail","Agility","","Accessory 1","Pair Holster / Echo of Victory / Litany of Exhaustion","","Level 7 :","Move Move Move","Field of Fire","Level 22 :","Blitz Stratagem","","Level 42 :","Killzone Stratagem","Ballistic Skill","","Accessory 1","Black signet of the inquisition / Precint's Vox Relay / Saint Cognatius's Scriptures","","Level 7 :","Move Move Move","Overclocking Module","Level 22 :","Blitz Stratagem","","Level 42 :","Killzone Stratagem","Ballistic Skill","","Accessory 1","Black signet of the inquisition / Precint's Vox Relay / Saint Cognatius's Scriptures","","","","","","","","","","","","","","","","","","","","","","","","","",""
