"","Level 11 :","Reckless Strike","Get off me!","Level 26 :","Athletics","Toughness","Level 46 :","Open Engagement","Carouse","","Weapon Set 1","CoffinMaker's Sledge / Heavy Maul / Auto-striking power sword / Bonebreaker Maul / Blade of Sorrow","","Level 11 :","Reckless Strike","Melee Weapon Specialist","Level 26 :","Athletics","Toughness","Level 46 :","Easy Target","Carouse","","Weapon Set 1","Auto-striking power sword / Bonebreaker Maul / Heavy Maul","","Level 11 :","Reckless Strike","Melee Weapon Specialist","Level 26 :","Athletics","Toughness","Level 46 :","Contempt","Carouse","","Weapon Set 1","Coffinmaker Sledge  / Auto-striking power sword / Bonebreaker Maul / Tearing Vengence / Carnage / Blade of Sorrow","","Level 11 :","Reckless Strike","Defensive Manuevre","Level 26 :","Toughness / Agility","Athletics","Level 46 :","Open Engagement","Awareness","","Weapon Set 1","Coffinmaker's Sledge / Auto-Striking Power Sword","","Level 11 :","Reckless Strike","Get off me!","Level 26 :","Agility","Medicae","Level 46 :","Ramming Speed","Athletics","","Weapon Set 1","Imminent Torment / Blade of the Blood Hunter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Desolation","Medicae","","","Tearing Vengence / Advanced Shield / Defender / Kinesiostatic Shield","","Level 12 :","Toughness","Carouse","Level 27 :","Unyelding Guard II","","Level 47 :","Blade Flurry","Medicae","","","Tearing Vengence / Advanced Shield / Defender / Kinesiostatic Shield","","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Desolation","Medicae","","","Bone-Shatterer / Quick-Fire Las Pistol / [Sol Pattern] Las Pistol","","Level 12 :","Toughness / Agility","Carouse","Level 27 :","Dispatch II","","Level 47 :","Cautious Disengage","Awareness","","","Tearing Vengence / Bonebreaker Maul / Tarvanna's Last Stand","","Level 12 :","Agility","Athletics","Level 27 :","Carnival of Misery III","","Level 47 :","Open Engagement","Athletics","","","Symphony of Pain / Virulent Slicer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Reckless Fury","Carouse","Level 28 :","Carouse","Adaptability","Level 48 :","Exploit Weakness","Toughness","","Weapon Set 2","Carnage / CoffinMaker's Sledge / Well-Maintained Rock Saw","","Level 13 :","Reckless Fury","Carouse","Level 28 :","Resilient beacon","","Level 48 :","Unyielding Resolve","Toughness","","Weapon Set 2","Well-Maintained Rock Saw / Bonebreaker","","Level 13 :","Reckless Fury / Opening Strike","Carouse","Level 28 :","Carouse","Adaptability","Level 48 :","Exploit Weakness","Toughness","","Weapon Set 2","Well-Maintained Rock Saw / Bonecracker","","Level 13 :","Blade Flurry","Carouse","Level 28 :","Melee Weapon Specialist","Disarray","Level 48 :","Lone Killer","Toughness / Agility","","Weapon Set 2","Well-Maintained Heavy Rock saw","","Level 13 :","Desolation","Carouse","Level 28 :","Perfect Anatomy","","Level 48 :","Acute Pain","Agility","","Weapon Set 2","Well-Maintained Rock Saw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Perception","Dual-Weapon Combat","Level 29 :","Perception","Stentorian Voice","Level 49 :","Strength / Agility","Medicae","","","Tearing Vengence","","Level 14 :","Strength","Get off Me!","Level 29 :","Carouse","Perception","Level 49 :","Strength","Medicae","","","","","Level 14 :","Perception","Dual Weapon Combat","Level 29 :","Perception","Stentorian Voice","Level 49 :","Strength / Agility","Medicae","","","","","Level 14 :","Strength","Get off Me!","Level 29 :","Perception","Awareness","Level 49 :","Perception","Medicae","","","","","Level 14 :","Perception","Evasive Manoeuvres","Level 29 :","Perception","Medicae","Level 49 :","Strength","Carouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Daring Breach IV","","Level 30 :","Kick","","Level 50 :","Peak Condition","Contempt","","","","","Level 15 :","Daring Breach IV","","Level 30 :","Forced distraction","","Level 50 :","Peak Condition","Desolation","","","","","Level 15 :","Daring Breach IV","","Level 30 :","Kick","","Level 50 :","Peak Condition","Ramming Speed","","","","","Level 15 :","Daring Breach IV","","Level 30 :","","","Level 50 :","Extermination / Malign Influence","Impetus","","","","","Level 15 :","Daring Breach IV","","Level 30 :","Reckless Abandon","Finesse","Level 50 :","Peak Condition","Blade Flurry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Martial Art","","Level 51 :","Distract","Medicae","","","","","","","","Level 31 :","Taunting Opportunity","","Level 51 :","Defensive Comrade","Medicae","","","","","","","","Level 31 :","Martial Art","","Level 51 :","Distract","Medicae","","","","","","","","Level 31 :","Dual-Weapon Specialist","Seize the Advantage","Level 51 :","Perfect Opening","Medicae","","","","","","","","Level 31 :","Deep Laceration","","Level 51 :","Revelling in Suffering","Carouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Perception","Carouse","Level 52 :","Preferred Targets","Know No Heresy","","","","","","","","Level 32 :","Perception","Carouse","Level 52 :","Cautious Disengage","Know No Heresy","","","","","","","","Level 32 :","Perception","Carouse","Level 52 :","Preferred Targets","It Will Not Die","","","","","","","","Level 32 :","Awareness","","Level 52 :","Outsmart","Ready To Serve / Doing My Part","","","","","","","","Level 32 :","Perception","Athletics","Level 52 :","Crowd Kill","It Will Not Die","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Sworn Enemy / Break Through","Strength","","","","","","","","Level 33 :","Taunting Defence","","Level 53 :","Bulwark","Strength","","","","","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Sworn Enemy","Strength","","","","","","","","Level 33 :","Bringer of Doom","Perception","Level 53 :","Forceful Strike","Perception","","","","","","","","Level 33 :","Fragile Playthings","","Level 53 :","Forceful Strike","Strength","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Strength","Power Armour Proficiency","Level 54 :","Extermination","Accustomed to Glory","","","","","","","","Level 34 :","Power Armour Proficiency","","Level 54 :","Extermination","On your feet!","","","","","","","","Level 34 :","Strength","Power Armour Proficiency","Level 54 :","Extermination","Accustomed to Glory","","","","","","","","Level 34 :","Power Armour Proficiency","","Level 54 :","Eager for Battle","Killing Spree","","","","","","","","Level 34 :","Strength","Power Armour Proficiency","Level 54 :","Extermination","Sickening Pain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","Level 35 :","Unyelding Guard III","","Level 55 :","AP +1","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","Level 35 :","Dispatch III","","Level 55 :","AP +1","","","","","","","","","Level 35 :","Carnival of Misery IV","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Idira Fire Princess https://youtu.be/3wCHM59p83A ","","","","","","","","","","Skill Options","","","Idira the lightning buff queen","","","","","","","","","","Skill Options","","","Idira Missionary Oath and Exploit Setter (My Protest build whilst owlcat wont give operatives exploits on extra turns or allow idira to use warp buffer)","","","","","","","","","","Skill Options","","","Idira Promise of Lightning ","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Warp buffer does not prevent instant death daemon summon unique to unsanctioned psyker. Always a Chance of instant death unlike sanctioned psykers.","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","Warp buffer does not prevent instant death daemon summon unique to unsanctioned psyker. Always a Chance of instant death unlike sanctioned psykers. Using Arc rifle because it is fun","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","This build is designed to not do anything other than give the team missionary oath hp on invigorating resolve and set exploits turn 1","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","some weird gimmicks happening with the act 2 dlc 1 pistols","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Operative","","","Overseer","","","Exemplar","","","","","","","Operative","","","Overseer","","","Exemplar","","","","","","","Operative","","","Grand Strategist","","","Exemplar","","","","","","","Operative","","","Assassin","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1 :","Analyse Enemies","","Level 16 :","Psyber-Raven Proficiency","","Level 36 :","Eager for Battle *","Fresh Target","","","","","Level 1 :","Analyse Enemies","","Level 16 :","Psyber-Raven Proficiency","","Level 36 :","Eager for Battle *","Sharpshooter","","","","","Level 1 :","Analyse Enemies","","Level 16 :","Combat Tactics","","Level 36 :","Firebrand","Fresh Target","","","","","Level 1 :","Analyse Enemies","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Weak Body, Weak Soul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 2 :","Awareness","","Level 17 :","Strategic Adaptation","","Level 37 :","Awareness / Lore Warp","Impure Force","","Gear to consider","","","Level 2 :","Awareness","","Level 17 :","Prescience","","Level 37 :","Awareness / Lore Warp","Fatebringer","","Gear to consider","","","Level 2 :","Awareness","","Level 17 :","Blitz Stratagem","","Level 37 :","Awareness / Lore warp","Personal Zone","","Gear to consider","","","Level 2 :","Awareness","","Level 17 :","Death Whisper","","Level 37 :","Awareness","Lethal Concentration","","Gear to consider","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Expose Weakness","","Level 18 :","Warp Buffer","","Level 38 :","Willpower","Grenadier","","Helm","Ghost Helm / Cultist Hood / Ethereal Visor / Dark Visionary Hood","","Level 3 :","Expose Weakness","","Level 18 :","Warp Buffer","","Level 38 :","Intelligence","Echopulse","","Helm","Ghost Helm / Cultist Hood / Ethereal Visor / Dark Visionary Hood","","Level 3 :","Expose Weakness","","Level 18 :","Improvised Strategy","","Level 38 :","Ballistic Skill","Thriving in Peril","","Helm","Ghosthelm / Arch-Strategist's Visor","","Level 3 :","Expose Weakness","","Level 18 :","Deadly Calculation","","Level 38 :","Ballistic Skill","Melting Armour","","Helm","Vivisector Visor / Gunslinger's Helm / Weakness Detector / Self-Calibrating Goggles / Self-Calibrating Helmet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Dismantling Attack","Uncanny Sight","Level 19 :","Overcharge","","Level 39 :","Prescience","Awareness / Lore Warp","","Armour","Psychic Bodyglove","","Level 4 :","Dismantling Attack","Uncanny Sight","Level 19 :","Overcharge","","Level 39 :","Sensory Deprivation","Awareness / Lore Warp","","Armour","Psychic Bodyglove","","Level 4 :","Dismantling Attack","Uncanny Sight","Level 19 :","Take and Hold","","Level 39 :","Prescience","Awareness / Lore warp","","Armour","Psychic Bodyglove","","Level 4 :","Dismantling Attack","Uncanny Sight","Level 19 :","Dispatch","","Level 39 :","Tactical Knowledge","Awareness","","Armour","[Hive World Origin] Voidsmen Armour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
