"Pet Protocols Consumables Weapons Name Pistols (light, 1h) Name Autopistol Corrupted Inferno Pistol Las Pistol [Mezoa] Bolt Pistol Foehammer Precise LasPistol Ripper Autopistol Stub Revolver","https://roguetrader.wh40k.wiki/Category:Pet_Protocol https://roguetrader.wh40k.wiki/Category:Consumable https://roguetrader.wh40k.wiki/Category:Weapon DMG DMG 3-4 10-16 6-8 8-12 9-14 6-8 3-5 7-11","AR PEN AR PEN 5 50 5 15 10 10 10 15","RoF RoF 6 1 2 4 1 4 8 2","Recoil Recoil ","Range Range 5-10 4-8 5-10 6-12 3-6 5-10 5-10 6-12","Ammo Ammo 12 3 20 4 6 30 16 6","Type Type Solid Melta Las Bolt Solid Las Solid Solid","Description Description Heretical 15+ Only. No proficiency required. Standard Inferno pistol benefits including 1AP attacks vs Meltas standard 2 Shotgun pistol. Actually only use 1AP despite tooltip Dead Eye Shot ","Where Where Common Prologue Pick Heretic Choice  Common starting Prologue Mechanicus 1 Prison Prison  Eurac V Prison ","Acts Acts 0 0 0 1 1 1 1 1","","","","","","","","","","","","","","","","","","",""
"Bone Shatterer","27-40","15","1","","2-5","8","Solid","Shotgun. All types of phys. dmg dealt to target hit by this pistol + 33% for 2 rounds","Void 22. 63","4","","","","","","","","","","","","","","","","","","",""
"Tyrant","30-45","30","1","10","5-10","5","Exotic","Inflict (10) burning, toxin, bleeding on target","Kasballica 24. pf 100","4","","","","","","","","","","","","","","","","","","",""
"[Sol Pattern] Las Pistol","14-20","20","4","10","5-10","20","Las","Only burstfire","Sentinel pride awareness check / forceful genestealer encounter void shadows dlc","4","","","","","","","","","","","","","","","","","","",""
"Anti-Vehicle Revolver","20-33","45","3","15","6-12","6","Solid","On successful hit, shot explodes dealing 20 impact damage to everyone in the area of effect around the target. 1AP burst fire","Void 26. pf87. Tomb world Epitaph - RT copy 2/2/2","4,5","","","","","","","","","","","","","","","","","","",""
"Bloody Mentor","12-12","30","6","15","5-10","24","Las","When a character hits an ally with this weapon, that ally gains +1 AP, +FEL bonus) MP, and (2 x FEL)% to their critical hit chance on their next turn. This bonus does not stack.","(Lex Imperialis DLC) Tithe world","4","","","","","","","","","","","","","","","","","","",""
"[Mars-Pattern] Hot Shot Laspistol","15-25","35","4","5","6-12","20","Las","","(Lex Imperialis DLC) Tithe world, kill clerk","4","","","","","","","","","","","","","","","","","","",""
"Virtuous Vindication","35-50","80","1","","4-8","3","Melta","On hit target must perform +10 TGH resistance test. If they fail they suffer burning (24) and melting. Additionally they are stunned for 1 turn. If they pass, they suffer burning (8) and melting","Neos Charoitus system - Ice world Ulfar quest","5","","","","","","","","","","","","","","","","","","",""
"Rifles (Light, 2H, can't be shoot melee)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","RoF","Recoil","Range","Ammo","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Unfading Valor","6-10","15","4","40","12-24","14","Bolt","","Argenta Recruit","0","","","","","","","","","","","","","","","","","","",""
"Arc Rifle","10-15","10","1","","9-18","4","Exotic Arc Rifle","When hit a target, also attack all other targets in 2 cell radius of 1st","Rykad Minoris Tech Temple / Pasqal Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Autogun ","3-5","10","6","","8-16","24","Solid","Overpen +50%","Common Starting Eurac V","1","","","","","","","","","","","","","","","","","","",""
"Bolter","9-14","15","3","","12-24","14","Bolt","","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Lasgun ","5-7","5","4","","10-20","40","Las","Las -30 Dodge","Common Starting Eurac V","1","","","","","","","","","","","","","","","","","","",""
"The Ripper","4-6","10","8","15","8-16","24","Solid","50% overpen","Freight Line","1","","","","","","","","","","","","","","","","","","",""
"Alpha's Arc Rifle","28-32","15","1","10","8-16","4","Exotic Arc Rifle","On successful hit with this weapon, the wielder also attacks all targets in a 4 cell radius around the target.","Kiava Gama - Boss Fight","2","","","","","","","","","","","","","","","","","","",""
"[Civitas] Autogun","5-8","5","7","15","12-24","24","Solid ","50% overpen","Footfall Jae's Garage","2","","","","","","","","","","","","","","","","","","",""
"Splinter Rifle","8-10","25","6","7","10-20","36","Drukhari","6 Toxin. Only Burst Fire","Palatium Stelos: Drukhari Raid","2","","","","","","","","","","","","","","","","","","",""
"[Mezoa] Arc Rifle","13-20","30","1","","9-18","4","Exotic Arc Rifle","When hit a target, also attack all other targets in 2 cell radius of 1st *","Mechanicus 14. PF55","2","","","","","","","","","","","","","","","","","","",""
"[Mezoa] Hexrifle","18-28","20","1","","15-30","5","Drukhari","Drukhari. When shot hits, poison target 3 rounds lest pass TGH test","Kasballica 0. PF 66","2","","","","","","","","","","","","","","","","","","",""
"[Orthlack] - Autogun","4-6","10","8","15","8-16","32","Solid","100% overpen","Footfall (incog) Funeral side quest","2","","","","","","","","","","","","","","","","","","",""
"[Retobi] Bolter","10-16","15","4","","12-24","16","Bolt","","Mechanicusanicus   5. 18 PF","2","","","","","","","","","","","","","","","","","","",""
"Archeotech Lasgun","12-17","5","4","20","9-18","40","Las","","Lapidus Mortus: Curio Loot the Corpse","2","","","","","","","","","","","","","","","","","","",""
"Focus Meltagun","25-32","70","1","","5-10","4","","","Mechanicus 20. PF60","2","","","","","","","","","","","","","","","","","","",""
"Hexrifle","22-25","15","1","10","15-30","5","Drukhari","Poison Shot","Commoragh","2","","","","","","","","","","","","","","","","","","",""
"Imperial Pride","11-17","15","4","25","12-24","16","Bolt","Dmg against Xenos, Psykers, Chaos + 4","Footfall Shadow Quarters Quarantine Area: Mutant Hideout","2","","","","","","","","","","","","","","","","","","",""
"Improvised Webber","6-10","0","1","10","5-10","8","Webber","","Plasma Chamber: Abulation in Blood","2","","","","","","","","","","","","","","","","","","",""
"Precise Bolter","15-21","15","4","","12-24","16","Bolt","Hit Chance + 10%","Kasballica 2. Pf 42","2","","","","","","","","","","","","","","","","","","",""
"Precise Lasgun","11-12","10","4","","10-20","40","Las","Hit Chance + 10 on top of Las bonus","Mechanicus. Mer  8. PF 35","2","","","","","","","","","","","","","","","","","","",""
"Shardcarbine","7-8","15","4","7","10-20","16","Drukhari","Notes: Low enough ROF for Tempest Backpack","Plasma Chamber: Drukhari Ambush","2","","","","","","","","","","","","","","","","","","",""
"Shuriken Catapult","6-9","20","8","5","9-18","100","Aeldari","","Janus Forest ","2","","","","","","","","","","","","","","","","","","",""
"Star Blight","19-29","15","1","10","15-30","4","Drukhari","Has Deadeye Shot.+25% Hit Chance","Janus Proj. 1: Ultrequisitors","2","","","","","","","","","","","","","","","","","","",""
"Storm Bolter","10-14","20","6","","12-24","15","Bolt","","Kasballica 9. Pf 59","2","","","","","","","","","","","","","","","","","","",""
"Sworn Protector","10-13","30","4","10","8-16","40","Las","Req. Icono 45. +1 Resolve for each enemy killed til end of combat","Nameless Star system -  Ancient Bunker last room","2","","","","","","","","","","","","","","","","","","",""
"Webber","6-8","0","1","","5-10","8","Webber","Immobilising Shot, AGI check. End of turn AGI check or deal direct dmg = Target AGI bonus","Mechanicusanicus 5. PF 18","2","","","","","","","","","","","","","","","","","","",""
"Hot Shot Lasgun","9-11","40","4","10","8-16","40","Las","Comment: Extremely High AR Pen","Janus Courtyard Fight, Executing Commisar","2,3","","","","","","","","","","","","","","","","","","",""
"[Retobi Pattern] Bolter","10-16","15","4","12","12-24","16","Bolt","-","Explorators","2","","","","","","","","","","","","","","","","","","",""
"Deadshot Splinter Rifle ","25-35","20","6","7","10-20","16","Exotic/Drukhari","this rifle has deadeye shot, it deals additional dmg = BS bonus + target's toxin level","2nd Arena Fight post being cured","3","","","","","","","","","","","","","","","","","","",""
"Pitch Black Desolator","25-40","50","1","","7-15","10","Drukhari/Las","Shoots in AoE. Inflict special immolation dealing burning (8) til end of combat and can't be put out. Target must pass TGH check +5 or be stunned for 1 round","Tervintas Trade","3","","","","","","","","","","","","","","","","","","",""
"Astartes Bolter","25-35","25","3","25","12-24","15","Astartes/Bolt","","Ulfar Recruit and Shrieker Stash, Killing Malice/Commisar & Taking over the Den","3","","","","","","","","","","","","","","","","","","",""
"Blaster","20-32","50","1","","7-15","10","Drukhari/Las","Line AoE shot. Cost 2AP","Common drop from Drukhari","3","","","","","","","","","","","","","","","","","","",""
"Improved Webber","20-30","0","1","10","5-10","8","Webber","Dodge reduction 10. Immobilising Shot, AGI check. End of turn AGI check or deal direct dmg = Target AGI bonus","Loot after fighting magus in DLC quest","4","","","","","","","","","","","","","","","","","","",""
"Strangler Webber","30-40","0","1","10","5-10","8","Webber","Dodge reduction 10. Immobilising Shot, AGI check. End of turn AGI check or deal direct dmg = Target AGI bonus. In addition to the webber attack effects, the target suffers -20WS and cannot perform AoO, these penalties last for 2 rounds","Sire loot DLC quest","4","","","","","","","","","","","","","","","","","","",""
"Modified Splinter Rifle ","10-13","20","6","7","10-20","36","Exotic/Drukhari","Has only Toxic Burst Attack. 10 toxin dmg","Nolla Septum system - Hive World","4","","","","","","","","","","","","","","","","","","",""
"Crucible of Torment","37-47","80","1","","7-15","10","Las/Drukhari","Darklight Blast. Has additional ability with range of 2 cells, that ability has +50% increased dmg. Doidge red 30","Quetza Temer","4","","","","","","","","","","","","","","","","","","",""
"Rapid-Fire Autogun","7-10","10","8","15","8-16","24","Solid","50% overpen","Footfall Amasecus -  Chorda retinue loot","4","","","","","","","","","","","","","","","","","","",""
"Corpuscarii Oath","30-40","25","4","10","10-20","60","Exotic Arc Rifle","Enemies hit by this weapon suffer irradiated effect for 3 turns, decreasing all healing received by -50%. Also prevents using Reanimation Protocol for 3 rounds","Cradle of Khepri system rumour","4","","","","","","","","","","","","","","","","","","",""
"[Mezoa-Pattern] Lasgun","14-21","20","4","10","10-20","40","","30 dodge reduction","Cassia's personal quest location","4","","","","","","","","","","","","","","","","","","",""
"Astartes Strom Bolter","20-25","20","6","35","12-24","40","Astartes/Bolt","","Emperor's Plan system - Eufrates II Hellbrute loot","4","","","","","","","","","","","","","","","","","","",""
"Hymn of Vehemence","20-30","20","4","30","12-24","14","Bolt","War Hymn and Furious Recital increase RoF of this bolter by number of enemy affected","Drusian 30. pf99","4","","","","","","","","","","","","","","","","","","",""
"Implaccable Tempest","15-24","15","4","10","10-20","40","Las","Deals + 4 x BS base dmg to target with >60% armor","Kasballica 28. pf110","4","","","","","","","","","","","","","","","","","","",""
"Eroding Autogun","10-12","10","8","15","8-16","32 ","Solid","Target hit with this gun suffer +20% more toxin til end of combat. +50% overpen","Void 29. pf101","4","","","","","","","","","","","","","","","","","","",""
"Well Maintained Webber","17-25","0","1","10","5-10","8","Webber","","Void 32. pf112","4","","","","","","","","","","","","","","","","","","",""
"Annihilating Astartes Bolter","30-45","25","3","25","12-24","15","Astartes/Bolt","Each Crit increase Crit DMG +10% until end of combat","Explorators 37 pf 160","4","","","","","","","","","","","","","","","","","","",""
"Arc Rifle Mindstorm","25-35","30","1","10","9-18","4","Exotic Arc Rifle","Deals an additional +(INT bonus / 2) of base damage.
Critical damage with an Arc Rifle is increased by (INT / 2)%.","Kieva Gamma colony project level 4","","","","","","","","","","","","","","","","","","","",""
"Eroding autogun","10-12","10","8","15","8-16","32","Solid","Targets hit by this autoshot receive 20% more toxic damage for the rest of the battle. Solid projectile weapons receive a 50% chance to overpenetrate.","Fellowship of the void","4","","","","","","","","","","","","","","","","","","",""
"Necrontech Hot Shot Lasgun","30-35","50","4","20","12-20","40","Las","30 dodge reduction","Tomb World of Epitaph","5","","","","","","","","","","","","","","","","","","",""
"They Shall weep","27-41","25","4","25","12-24","14","Bolt","Each shot with this bolter deals additional +(5xBSb) rending damage with 40% armour pen to all characters adjacent to the target","Sanctum of Taaphetus system - Rocky world Surface","5","","","","","","","","","","","","","","","","","","",""
"Snipers (Dead Eye Shot + Long range (18-36) + Hit Chance Buff)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","RoF","Recoil","Range","Ammo","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Sniper Rifle","12-16","15","1","","15-30","5","Solid","Hit Chance + 30%. Dodge Red. +10%","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Long Las","14-20","15","1","","18-36","10","Las","Hit chance +25%. Dodge reduction 30","Eurac V","1","","","","","","","","","","","","","","","","","","",""
"Rebel's Sniper Rifle","18-25","20","1","","15-30","5","Solid","Additional hit chance 30%, solid projectile weapons have 50% increased overpen","Rykad Minoris","","","","","","","","","","","","","","","","","","","",""
"The Roar","15-23","40","1","","18-36","5","Solid","Target are forced to move 2 cells away","Kasballica 11. PF55","2","","","","","","","","","","","","","","","","","","",""
"Needle Rifle","15-23","40","1","","18-36","5","Exotic","Additional hit chance +10 %, Single shot inflict Toxin","Forgotten Twins system- jungle world Stranded Outpost requires 2 provision cargo","2","","","","","","","","","","","","","","","","","","",""
"Marksman Rifle","15-21","15","1","","15-30","5","Solid","Hit Chance + 20%","Janus Forest","2","","","","","","","","","","","","","","","","","","",""
"Wanderer's Portent","22-25","20","1","","18-36","10","Las Exotic","The wielder can only perform deadeye shot attacks with this weapon. Whenever they kill an enemy with a critical hit using this weapon, they gain an additional attack this turn.","Jae recruitment reward","","","","","","","","","","","","","","","","","","","",""
"Hunting Rifle","16-24","15","1","","11-22","3","Solid","Deadshot with this weapon deals +5 DMG per size larger the enemy","Janus Forest","2","","","","","","","","","","","","","","","","","","",""
"Deadly eater","22-32","15","1","","18-36","10","Las","Hitchance + 25%. Gain 30% for one more attack after kill","Mechanicus  17. PF45","2","","","","","","","","","","","","","","","","","","",""
"Bane of Sorrow","22-32","10","1","","18-36","10","Las","Dmg vs drukhari + 33%","Kasballica 14. PF62","2","","","","","","","","","","","","","","","","","","",""
"[Mezoa] Sniper Rifle","20-30","20","1","","18-36","5","Solid","Hit Chance +30%. Dodge Reduc +10%","Kasballica 12. PF56","2","","","","","","","","","","","","","","","","","","",""
"Eye of Hecaton","30-45","35","1","","18-36","10","Las/Aeldari","dodge reduction 30, additional hit chance 20%, grants +5mp after each attack and allows to move after attacking, if an attack with it hits 3+ targets, the attack has no cooldown","Another gift from Calligos during Magnae Accensio - after thanking for the first one ","2","","","","","","","","","","","","","","","","","","",""
"Dream's Infinity","19-22","20","1","","18-36","10","Las/Aeldari","dodge reduction 30, additional hit chance 20%","Ship Crypt: Abulation in Blood hidden room","2","","","","","","","","","","","","","","","","","","",""
"Infinity of Dreams","19-22","20","1","0","18-36","10","Las","Las weapons are effective against targets behind cover and targets with a high chance of evasion.","Crypt","2","","","","","","","","","","","","","","","","","","",""
"[LD-Pattern] Needle Rifle","12-17","40","1","10","18-36","5","Exotic","-","(Void Shadows DLC), Various","2","","","","","","","","","","","","","","","","","","",""
"The Silence of Sha'eil","29-30","25%","1","0","18-36","10","Exotic","Targets hit by this weapon make a Will save to resist with a +20 bonus, and on a failed save suffer psychosomatic trauma for 1 round.","(Lex Imperialis DLC) Heartless Bridge","2","","","","","","","","","","","","","","","","","","",""
"Sharpshooter Rifle ","24-36","20","1","","11-22","3","Solid","Deadshot with this weapon deals +5 DMG per size larger the enemy","Spyre, Perception Check","3","","","","","","","","","","","","","","","","","","",""
"Bloodblight Hexrifle","22-30","15","1","10","15-30","5","Exotic/Drukhari","Attacks of this rifle inflict bloodblight: beggining of the target's turn all creatures in a 2 cell radius suffer bloodblight. If those creatures suffer impact, piercing or rending damage they also suffer additional +4 direct damage and bleeding (4)","","3","","","","","","","","","","","","","","","","","","",""
"Suin Kaelean","28-42","15","1","","18-36","10","Las/Aeldari","When weapon hits, target must pass -35TGH test or become blinded for 1 round. Dodge red 30, additional hit chance 25%","Quetza Temer","4","","","","","","","","","","","","","","","","","","",""
"Stupor","30-45","30","1","","18-36","10","Las","dodge reduction 30, additional hit chance 25%. When a deadeye shot from this weapon deals crit dmg the target becomes stunned for 1 turn","Quetza Temer","4","","","","","","","","","","","","","","","","","","",""
"Guardian Long Rifle","30-45","35","1","","18-36","10","Las/Aeldari","dodge reduction 30, additional hit chance 20%","Quetza Temer","4","","","","","","","","","","","","","","","","","","",""
"[Retobi-Pattern] Sniper Rifle","26-39","20","1","","15-30","5","Solid","Additional hit chance 30%, Dodge reduction 10","Emperor's Plan system - Eufrates II","4","","","","","","","","","","","","","","","","","","",""
"Gorenov's masterpiece","35-50","30","1","10","","5","Exotic","A hit from this weapon causes the target to move 2 cells away from the shooter. If the target is affected by burning, bleeding, or poisoning, the level of these effects is increased by 10. This effect does not stack.","(Void Shadows DLC) Freight Line conversation with Danrok if noble","4","","","","","","","","","","","","","","","","","","",""
"Gloomrifle","42-65","40","1","","15-30","5","Solid","Additional hit chance 40%. Damage from overpenetration is always equal to 100%. Deals additional +3*targets deflection damage","Sanctum of Taaphetus system - Rocky world Surface","5","","","","","","","","","","","","","","","","","","",""
"Exitus Longlas","40-60","30","1","","18-36","10","Las","Dodge reduction 30. Additional hit chance 50%. Grants +25% hit chance. If the wielder is iconoclast rank 5, damage is increased by +30% of current momentum","Tomb world Epitaph","5","","","","","","","","","","","","","","","","","","",""
"Flamers (AoE guns + Inflict Burn on target)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","RoF","Recoil","Range","Ammo","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Flamer","9-14","5","1","","3-7","6","Flame","10 Burning","Pirate  Trader","1","","","","","","","","","","","","","","","","","","",""
"Hand Flamer","5-9","5","1","","2-4","6","Flame","10 Burning","Rykad Minoris","1","","","","","","","","","","","","","","","","","","",""
"Infernicals","22-33","5","1","","5-10","6","Flame","Armour pen increases by 4% but do not inflict burn","Foulstone Proj.1 ","2","","","","","","","","","","","","","","","","","","",""
"[Mezoa-Pattern] Hand Flamer","13-21","5","1","","2-4","6","Flame","10 Burning","Footfall Shadow Quarters - Dark Hideout","2","","","","","","","","","","","","","","","","","","",""
"Reconstructed Flamer pistol","13-19","5","1","","2-4","6","flame","When hit by this weapon, all melee attack against target gain 10% crit and 15% crit dmg for 2 turns","Drusian 8. PF 35","2","","","","","","","","","","","","","","","","","","",""
"Unstable Flamer","12-18","5","1","","3-7","6","Flame","2AP ""AoE"" shot set both enemies on fire additional (10) total (20)and wielder on fire for 10","Langrenn's Belt, Plundered Station","2","","","","","","","","","","","","","","","","","","",""
"The Exploder (1H)","19-28","5","1","","2-4","6","Flame","When wielder kills a target with this weapon, target explodes dealing enemy TGH bonus/3 fire damage to all creatures in a 2-cell radius and applies burning (9)","Pit, -60 awareness check to the right after enetering location","3","","","","","","","","","","","","","","","","","","",""
"Toxic Flamer","35-52","0","1","","3-7","6","Flame","10 Burning, this weapon attacks also inflicts toxin at the same level as burning","Quetza Temer - Tervantias Lab room behind high Awarreness check","4","","","","","","","","","","","","","","","","","","",""
"Triumph of the Stalwart","50-75","15","1","","3-7","10","Astartes/Flame","12 Bruning","Emperor's Plan system - Eufrates II on the way to Hellbrute high awareness check required to spot","4","","","","","","","","","","","","","","","","","","",""
"[Mars-Pattern] Astartes Flamer","40-55","10","1","","3-7","8","Astartes/Flame","12 Burning","Explorators 28. Pf124 / Emperor's Plan system - Eufrates II Uralon Loot","4 / 4","","","","","","","","","","","","","","","","","","",""
"[Mars-Pattern] Hand Flamer","27-40","5","1","","2-4","6","Flame","15 Burning","Pasqal personal quest location","4","","","","","","","","","","","","","","","","","","",""
"Breath of Purgation","23-34","15","1","","3-7","6","Flame","Line AoE only. Each target hit by this flamer's burning attack increase flamer burn inflicted by 3 until end of 
combat","Kasballica 20. pf 86","4","","","","","","","","","","","","","","","","","","",""
"Undertaker","30-45","5","1","0","2-4","6","Flamer","When any creature in combat takes fatal damage from burning, the character deals 30% more damage with this weapon for 1 round. Does not stack. A Flamer combined with a chain weapon. This modification allows you to parry attacks. Critical damage in melee combat is increased by 25%.","(Lex Imperialis DLC) Drusian","4","","","","","","","","","","","","","","","","","","",""
"Purging Fury","45-74","15","1","","5-10","6","Flame","12 burning, first attack in combat deals additional direct dmage to xenos, psykers and daemons equal to 
10% of the target's maximum wounds. Burning deals additional damage equal to 2% of targets maximum
wounds to xenos, psykers and daemons.","Necron planet with destroyer encoounter","5","","","","","","","","","","","","","","","","","","",""
"Meltas (High Armor Pen, High cost to shoot usually, Usually AoE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Name","DMG","AR PEN","RoF","Recoil","Range","Ammo","Type","Description","Where","Acts","","","","","","","","","","","","","","","","","","",""
"Fusion Gun","16-26","60","1","","8-16","3","Aeldari","Single shot = 1AP vs Meltas Standard 2. Only Aeldari Prof req.","Kasballica 5. PF38","2","","","","","","","","","","","","","","","","","","",""
"Melta Gun","14-19","50","1","","3-6","4","Melta","Standard 2P per shot","Janus Forest","2","","","","","","","","","","","","","","","","","","",""
"Melta Ultima","20-26","75","1","","5-10","3","Melta","Standard 2P per shot","Kiava Gamma","2","","","","","","","","","","","","","","","","","","",""
"Ashen Breath","20-30","40","1","","8-16","3","Aeldari","Dodge Reduc +20%","Dargonus Proj.2: Kasball. Auction","2","","","","","","","","","","","","","","","","","","",""
"Archotech Fusion Gun","25-38","80","1","","8-16","3","Aeldari","Additional +60% dmg to burinig enemies","Orselio Prophecy System rumour","4","","","","","","","","","","","","","","","","","","",""
"[Mars] Melta Gun","30-46","85","1","","3-6","4","Melta","","Explorators 36 pf 156","4","","","","","","","","","","","","","","","","","","",""
"Fusion Gun 'Spark'","37-45","80","1","","12-24","5","Melta Sniper Rifle","On hit, this weapon inflicts +3 stacks of the melting effect for 2 rounds. The wielder can perform deadeye shots with this weapon. It is considered a sniper rifle","Crone world act 4","4","","","","","","","","","","","","","","","","","","",""
"Heavy Weapons (STR Req usually, Works with the Overpower Heavy weapon talent and Heavy Gunner AM Talent otherwise high cost to shoot)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
