"Gloves Name","https://roguetrader.wh40k.wiki/Category:Gloves Description","Locations","Acts","Notes","","","","","","","","","","","","","","","","","","","","",""
"Studded gloves","The character's melee attacks gain a +15% armor penetration bonus.

If the target's armor is less than or equal to the character's armor penetration bonus, the target makes a Stamina check to resist with a +20 bonus and, on a failed save, suffers bleeding (4).","(Lex Imperialis DLC)
Kasballica Mission ","4","","","","","","","","","","","","","","","","","","","","","",""
"Elastic gloves","If a character kills 3 or more targets with an area-of-effect weapon attack for the first time in a round, that attack does not consume any XP and does not count towards the attack limit per turn.","(Lex Imperialis DLC)
Leethus, in a chest immediately after meeting the clerk","4","","","","","","","","","","","","","","","","","","","","","",""
"Servo gloves","The character's armor evasion penalty is reduced by 10%.

If the character's Dexterity is greater than or equal to 60, this penalty is reduced by 15%.","(Lex Imperialis DLC)
Leethus, in a container near the Arbiter base, accessible from two terminals","4","","","","","","","","","","","","","","","","","","","","","",""
"Tear-Blade Gloves","Drukhari equipment. Wearer's damage is increased by +1% for every 2% wounds lost","AN#8954no01-KT system -Dead World Drukhari Camp (Marazhai required)","5","","","","","","","","","","","","","","","","","","","","","",""
"Inevitable Demise","Wearer's critical hits deal double damage","Sanctum of Taaphetus system - Rocky world Surface","5","","","","","","","","","","","","","","","","","","","","","",""
"Claws of the Black Hunt","When wearer performs melee attack on an enemy it inflicts +1 stack of black hunt. If enemy has at least 1 such stack, each ally attack vs that enemy inflicts +1 more stack. Each stack grants +1% critical hit chance and +1% critical damage to all attacks against that creature","AN#8954no01-KT system -Dead World Drukhari Camp (Marazhai required)","5","","","","","","","","","","","","","","","","","","","","","",""
"The Hand of Avolius","After a successful melee attack this gauntlets grant wearer's WS chance to apply Bleeding effect on enemies that failed Toughness Test.","","","","","","","","","","","","","","","","","","","","","","","",""
"Sapper Gloves","10 bonus to Demolition Tests.","","","","","","","","","","","","","","","","","","","","","","","",""
"Knuckle-Dusters","These knuckle-dusters grant the wielder a +5 bonus to Coercion Tests.","","","","","","","","","","","","","","","","","","","","","","","",""
"Grox Bracers","This sturdy hand protection. Increases Parry by 10.","","","","","","","","","","","","","","","","","","","","","","","",""
