"","Level 11 :","Reckless Strike","Get off me!","Level 26 :","Athletics","Strength","Level 46 :","Defensive Stance","Carouse","","","Balanced Maul / Power Pick","Epiphany","Epiphany","Carnage / Bonecracker","","","Level 11 :","Reckless Strike","Get off Me!","Level 26 :","Athletics","Toughness","Level 46 :","Contempt","Carouse","","","Foehammer","Ryza-Pattern Foehammer","Bloody Vigil","Sol Pattern Laspistol","","","Level 11 :","Reckless Strike","Melee Weapon Specialist","Level 26 :","Athletics","Toughness","Level 46 :","Contempt","Carouse","","","Stronghold","Radiant Shield","Heavy Shield","Advanced Shield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Desolation","Medicae","","Weapon Set 2","Retobi-Pattern Greatsword","Wrath of the Vile Rabble / Heavy Maul","Wrath of the Vile Rabble / Heavy Maul","Well-Maintained Rocksaw / Heavy Maul","","","Level 12 :","Toughness","Carouse","Level 27 :","Steady Superiority IV","","Level 47 :","Desolation","Medicae","","Weapon Set 2","Retobi-Pattern Greatsword","Wrath of the Vile Rabble","Wrath of the Vile Rabble","","","","Level 12 :","Toughness","Carouse","Level 27 :","Unyelding Guard II","","Level 47 :","Crowd Kill","Medicae","","Weapon Set 2","Balanced Maul","Epiphany","Emergency Cutter","Well Maintained Rocksaw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Reckless Fury (can respec)","Medicae","Level 28 :","Carouse","Adaptability","Level 48 :","Exploit Weakness","Toughness","","","","Blade of Sorrow / Shield","Blade of Sorrow / Shield","/ Shield","","","Level 13 :","Impetus","Carouse","Level 28 :","Carouse","Adaptability","Level 48 :","Exploit Weakness","Toughness","","","","Blade of Sorrow","Blade of Sorrow","","","","Level 13 :","Defensive Stance","Carouse","Level 28 :","Resilient beacon","","Level 48 :","Unyielding Resolve","Toughness","","","Stronghold","Radiant Shield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Toughness","Duelling Mastery","Level 29 :","Toughness","Dual-Weapon Spec / Shield Mastery","Level 49 :","Strength","Medicae","","","","","","","","","Level 14 :","Perception","Duelling Mastery","Level 29 :","Perception","Stentorian Voice","Level 49 :","Strength","Medicae","","","","","","","","","Level 14 :","Strength","Get off Me!","Level 29 :","Carouse","Perception","Level 49 :","Strength","Medicae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Daring Breach IV","","Level 30 :","Kick","","Level 50 :","Extermination","Stentorian Voice","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Kick","","Level 50 :","Extermination","Interception","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Forced Distraction","","Level 50 :","Extermination","Hardened Scars","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Martial Art","","Level 51 :","Distract","Medicae","","Focal Emitter MK-I","","","","","","Act 2","","","","Level 31 :","Armsmaster","","Level 51 :","Martial Art","Medicae","","Focal Emitter MK-I","","","","","","Act 2","","","","Level 31 :","Taunting Opportunity","","Level 51 :","Defensive Comrade","Medicae","","Focal Emitter MK-I","","","","","","Act 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Perception","Carouse","Level 52 :","Preferred Targets","Power Weapon Expert","","Focal Emitter MK-I","","","","","","Act 3","","","","Level 32 :","Perception","Carouse","Level 52 :","Preferred Targets","Power Weapon Expert","","Focal Emitter MK-I","","","","","","Act 3","","","","Level 32 :","Perception","Carouse","Level 52 :","Cautious Disengage","Calculated Resolve","","Focal Emitter MK-I","","","","","","Act 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Forceful Strike","Strength","","Focal Emitter MKII","Galvanic Carapace","Telemetric Logis Analyser MKII","Ogryn Grip MK-II Left *optional*","","Reinforced Phase Oscillator","Act 4","","","","Level 33 :","Critical Versatility","Perception","Level 53 :","Forceful Strike","Strength","","Focal Emitter MKII","Galvanic Carapace","","","","Reinforced Phase Oscillator","Act 4","","","","Level 33 :","Taunting Defence","","Level 53 :","Bulwark","Strength","","Focal Emitter MKII","Subdermal Compensator MK 'Vanguard'","Telemetric Logis Analyser MKII","","","Kinetic Reflector","Act 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Perception","Power Armour Proficiency","Level 54 :","Eagar for battle ","Accustomed to Glory","","","","","","","","Act 5","","","","Level 34 :","Strength","Power Armour Proficiency","Level 54 :","Eager for battle","Accustomed to Glory","","","","","","","","Act 5","","","","Level 34 :","Power Armour Proficiency","","Level 54 :","Eager for battle","On your feet!","","","","","","","","Act 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Unyelding Guard III","","Level 55 :","AP +1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Idira Tlass - Primaris-rogue Witch","","","","","","","","","","Skill Options","","","","","","","Idira Promise of Lightning ","","","","","","","","","","Skill Options","","","","","","","Idira Chaos Witch ","","","","","","","","","","Skill Options","","","","","","","Idira Tlass - Stanctified Staff build","","","","","","","","","","Skill Options","","","","","","","Idira Divined Shots","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","",""
"","New augments reduce chance of instant perils but do not remove it. Use at your own risk for an aggressive buffer and range damage dealer","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","","","","","some weird gimmicks happening with the act 2 dlc 1 pistols and arc rifles with assassin + malign influence","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","","","","","Offensive Assassin Idira full on power build","","","","","","","","","","Intelligence Skills","","","","","","","Look we all know sanctic staff is OP and the cheap way to make end game damage screen shots by stacking resolve with the build being less useful than AoE buffs but it is what it is","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","","","","","Ricochet Sniper Idira with Secondary Staff Support using more diviner powers than usual","","","","","","","","","","Awareness / Lore Xenos / Lore Warp","","","","","","","","","","","","","","","","","","","","","",""
"","Operative","","","Overseer","","","Exemplar","","","","","","","","","","","Operative","","","Assassin","","","Exemplar","","","","","","","","","","","Operative","","","Assassin","","","Exemplar","","","","","","","","","","","Operative","","","Overseer","","","Exemplar","","","","","","","","","","","Operative","","","Bounty Hunter","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1 :","Analyse Enemies","","Level 16 :","Psyber-Raven Proficiency","","Level 36 :","Degraded Defence","Continuous Analysis","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Weak Body, Weak Soul","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Seek the Opening","","Level 36 :","Malign Influence","Continuous Analysis","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Psyber-Raven Proficiency","","Level 36 :","Degraded Defence","Continuous Analysis","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Analyse Enemies","","Level 16 :","Hunt Down The Prey","","Level 36 :","Masterful Display","Continuous Analysis","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","","","","","","","","","","","","","","","",""
"","Level 2 :","Awareness","","Level 17 :","Strategic Adaptation","","Level 37 :","Awareness / Lore Warp","Enhanced Augmetics","","Helm","Analyst's Hemet","Dark Visionary Hood / Thassertium Mask","Dark Visionary Hood / Thassertium Mask","Ghost Helm / Thassertium Mask","","","Level 2 :","Awareness","","Level 17 :","Death Whisper","","Level 37 :","Awareness","Lethal Concentration","","Helm","","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Helm","","","Level 2 :","Awareness","","Level 17 :","Firestorm","","Level 37 :","Awareness","Lethal Concentration","","Helm","","Thassertium Mask","Thassertium Mask","Ghost Helm / Ethereal Visor / Eyes of Joyeuse","","","Level 2 :","Awareness","","Level 17 :","Strategic Adaptation","","Level 37 :","Awareness / Lore Warp","Enhanced Augmetics","","Helm","Analyst's Hemet","Dark Visionary Hood / Thassertium Mask","Dark Visionary Hood / Thassertium Mask","Ghost Helm / Thassertium Mask","","","Level 2 :","Awareness","","Level 17 :","Claim the Bounty","","Level 37 :","Awareness","Withdraw","","Helm","Analyst's Hemet","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Helm","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Expose Weakness","","Level 18 :","Warp Buffer","","Level 38 :","Willpower","Weak Hearts","","Armour","Psychic Bodyglove","Headhunter Light Carapace","Headhunter Light Carapace","Chaos Bodyglove","","","Level 3 :","Expose Weakness","","Level 18 :","Deadly Calculation","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","Death World Light Flak Armour","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","","","Level 3 :","Expose Weakness","","Level 18 :","Deadly Calculation","","Level 38 :","Willpower","Burning Blood","","Armour","Psychic Bodyglove","Headhunter Light Carapace","Headhunter Light Carapace","Cultist Armour Plates / Chaos Bodyglove","","","Level 3 :","Expose Weakness","","Level 18 :","Warp Buffer","","Level 38 :","Willpower","Weak Hearts","","Armour","Psychic Bodyglove","Headhunter Light Carapace","Headhunter Light Carapace","Cultist Armour Plates / Chaos Bodyglove","","","Level 3 :","Expose Weakness","","Level 18 :","Hunting Surge","","Level 38 :","Ballistic Skill","Melting Armour","","Armour","Death World Light Flak Armour","Headhunter Light Carapace","Ceramite Xenochestplate","Hive World Origin Voidsmen Armour","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Overcharge","","Level 39 :","Sensory Deprivation","Awareness / Lore Warp","","Cloak","Phantom Cloak","Singed Cape","Singed Cape","Singed Cape","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Dispatch","","Level 39 :","Intimidation","Awareness","","Cloak","","","","","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Dispatch","","Level 39 :","Santic Powers","Awareness","","Cloak","Phantom Cloak","Dimensional Traveller Cloak / Malpian Shroud","Dimensional Traveller Cloak / Malpian Shroud","Singed Cloak / Malpian Shroud","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Overcharge","","Level 39 :","Sensory Deprivation","Awareness / Lore Warp","","Cloak","Phantom Cloak","Singed Cape","Singed Cape","Singed Cape","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Wild Hunt","","Level 39 :","Perfect Timing","Awareness","","Cloak","Von Valacius Cloak","Cape of righteous fury","Cape of righteous fury","Cape of righteous fury","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Perception","Second Sight","Level 20 :","Ap +1","Willpower","Level 40 :","Malign Influence","Psyker Extremis","","Neck","Missionary Oath","Vortex Pendant","Vortex Pendant","Vortex Pendant","","","Level 5 :","Ballistic Skill","Overclocking Module","Level 20 :","AP +1","Ballistic Skill","Level 40 :","Contagion","An eye for the unscathed","","Neck","Hypnotising Pendant","Hypnotising Pendant","Hypnotising Pendant","Synpatic Coagulator","","","Level 5 :","Perception","Second Sight","Level 20 :","AP +1","Willpower","Level 40 :","Contagion","Psyker Extremis","","Neck","Gem of Dark Vitality","Chain of Crystals / Invigorating Resolve","Chain of Crystals / Invigorating Resolve","Starmist Scarf / Invigorating Resolve","","","Level 5 :","Perception","Second Sight","Level 20 :","Ap +1","Willpower","Level 40 :","Malign Influence","Psyker Extremis","","Neck","Missionary Oath","Vortex Pendant","Vortex Pendant","Vortex Pendant","","","Level 5 :","Ballistic Skill","Second Sight","Level 20 :","AP +1 - Ballistic Skill","Psyker Majoris","Level 40 :","Masterful Precision","Pierce the armour","","Neck","Hypnotising Pendant","Dog Tag","Dog Tag","Synaptic Coagulator / Starmist Staff","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Uncanny Sight","Willpower","Level 21 :","Psyker Majoris","Willpower","Level 41 :","Willpower","Comprehensive Analysis","","Accessory 1","","Spirit Drape","Spirit Drape / Warp Reflex Ring","Spirit Drape / Warp Reflex Ring","","","Level 6 :","Uncanny Sight","Ballistic Skill","Level 21 :","Imminent Demise","Ballistic Skill","Level 41 :","Ballistic Skill","Continuous Analysis","","Accessory 1","Metronome","Pair Holster / Warp Surge Brooch","Pair Holster / Warp Surge brooch","Pair Holster / Warp Surge Brooch","","","Level 6 :","Uncanny Sight","Willpower","Level 21 :","Psyker Majoris","Willpower","Level 41 :","Willpower","Comprehensive Analysis","","Accessory 1","","Warp Surge Brooch","Warp Surge Brooch","Warp Surge Brooch","","","Level 6 :","Uncanny Sight","Willpower","Level 21 :","Psyker Majoris","Willpower","Level 41 :","Willpower","Comprehensive Analysis","","Accessory 1","","Spirit Drape","Spirit Drape / Hand of Offence","Spirit Drape / Hand of Offence","","","Level 6 :","Uncanny Sight","Ballistic Skill","Level 21 :","Ballistic Skill","Heightened Concentration","Level 41 :","Ballistic Skill","Comprehensive Analysis","","Accessory 1","Metronome","Target Designator / Spirit Drape","Litany of Exhausion / Spirit Drape","Litany of Exhausion / Spirit Drape","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Pyromancy","Medicae / Lore Warp","Level 22 :","Enfeeble","Awareness / Lore Warp","Level 42 :","Psychic Assault","Intelligence","","Accessory 2","","Warp Surge Brooch / Experimental Psy-Amplifier","Warp Surge Brooch / Hand of Offence","Warp Surge Brooch / Hand of Offence","","","Level 7 :","Perfect Spot","Medicae","Level 22 :","Awareness","Killing Edge","Level 42 :","Elusive Shadow","Perception","","Accessory 2","","Enemy Finder ","Iron Cape","Notes on weaknesses","","","Level 7 :","Pyromancy","Medicae","Level 22 :","Awareness","Psychic Assault","Level 42 :","Shield of the Emperor","Intelligence","","Accessory 2","","Spirit Drape / Saint Cognacius's Scriptures","Spirit Drape / Saint Cognacius's Scriptures","Notes On Weaknesses (DT cloak will kill you)","","","Level 7 :","Pyromancy","Medicae / Lore Warp","Level 22 :","Shield of the Emperor","Awareness / Lore Warp","Level 42 :","Psychic Assault","Intelligence","","Accessory 2","","Warp Surge Brooch / Grimoire of the Void","Warp Surge Brooch / Grimoire of the Void","Warp Surge Brooch / Grimoire of the Void","","","Level 7 :","Pyromancy","Medicae","Level 22 :","Cull the Bold","","Level 42 :","Piercing Shot","Willpower","","Accessory 2","Book of War prayers","Portative Manipulator / Warp Surge Brooch","Prey Scanner / Warp Surge Brooch","Prey Scanner / Warp Surge Brooch","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Pain Channelling","Backdraft","Level 23 :","Psy-Resonator","","Level 43 :","Sacrificial Penance","Mind Siege","","Gloves","Stalker Gloves","Warp Conductor Gloves","Warp Conductor Gloves","Warp Conductor Gloves","","","Level 8 :","Fresh Target","Staggering Jolt","Level 23 :","Lethality Heightens","","Level 43 :","Lone Killer","Calculated Resolve","","Gloves","Stalker Gloves","Marksman Bracers","Marksman Bracers","Marksman Bracers","","","Level 8 :","Pain Channelling","Backdraft","Level 23 :","Lethality Heightens","","Level 43 :","Mind Thief","Calculated Resolve","","Gloves","Stalker Gloves","Warp Conductor's Gloves","Warp Conductor's Gloves","Warp Conductor's Gloves","","","Level 8 :","Pain Channelling","Backdraft","Level 23 :","Psy-Resonator","","Level 43 :","Sacrificial Penance","Aftershock","","Gloves","Stalker Gloves","Warp Conductor Gloves","Warp Conductor Gloves","Warp Conductor Gloves","","","Level 8 :","Pain Channelling","Backdraft","Level 23 :","Hunter's Ambush","Lore Xenos","Level 43 :","Expert Finesse","Psyker Extremis","","Gloves","Stalker Gloves","Kasrkin Gauntlets / Marksman Bracers","Marksman Bracers","Marksman Bracers","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Dismantling Attack III","Awareness / Lore Warp","Level 24 :","Perception","Melting Armour","Level 44 :","Lore Xenos","Contagion","","Boots","","Psyker's Footware","Psyker's Footware","Boots of Decay","","","Level 9 :","Dismantling Attack III","Awareness","Level 24 :","Perception","Liturgy of Insulation","Level 44 :","Lore Xenos","Degraded Defence","","Boots","Warmonger Boots","Warmonger Boots","Sharpshooter's Boots","Sharpshooter's Boots","","","Level 9 :","Dismantling Attack III","Awareness","Level 24 :","Perception","Aftershock","Level 44 :","Lore Xenos","Degraded Defence","","Boots","","Psyker's Footwear","","Boots of Decay","","","Level 9 :","Dismantling Attack III","Awareness / Lore Warp","Level 24 :","Perception","Melting Armour","Level 44 :","Lore Xenos","Contagion","","Boots","","Psyker's Footware","Psyker's Footware","Boots of Decay","","","Level 9 :","Dismantling Attack III","Awareness","Level 24 :","Willpower","Psychic Barrage","Level 44 :","Lore Xenos","Degraded Defence","","Boots","Warmonger Boots","","Sharpshooter Boots","Sharpshooter Boots","","","","","","","","","","","","","","","","","",""
