"Boots Name","https://roguetrader.wh40k.wiki/Category:Boots Description","Locations","Acts","","","","","","","","","","","","","","","","","","","","","",""
"Tracking Boots","Hot on the Trail extra turn gives +1AP and +AGI bonus MP for this extra turn","Chasm - After meeting Malice BS check to shoot down the body near the place where we spawned in originally in commoragh","3","","","","","","","","","","","","","","","","","","","","","",""
"Defensive Boots","If wearer didnt spend MP during their turn, theu double their cover efficiency in half cover until the end of the wearer's next turn","Mangled Sector - Safe","3","","","","","","","","","","","","","","","","","","","","","",""
"Bruiser Boots","When the wearer performs an area attack they instantly provoke AoO from all adjacent enemies. The weaerrer gains +TGH bonus temp wound for each AoO provoked","Chasm ","3","","","","","","","","","","","","","","","","","","","","","",""
"Fencing Boots ","Grans AGI bonus * 2 parry when using swords. When user parries with this sword they counter attack causing attacking enemy to become staggered. If the attacker is taggered the wearer's parry is increased by AGI bonus * 5","Mangled Sector - skill check behin demolition check near Commissar","3","","","","","","","","","","","","","","","","","","","","","",""
"Recoil Warboots","When wearer attacks an enemy from behind cover with ranged attack, cover efficiency is decreased by -40% for that attack. -15 recoil","The Spyre, Farseer side","3","","","","","","","","","","","","","","","","","","","","","",""
"Intendant Boots","When wearer uses consumable they gain +2MP and +20% dodge until the start of their next turn","Commisar Trade, Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","","","","",""
"Sharpshooter Boots ","When wearer performs single-shot rnaged attack from any cover, this attack gains +Awareness/4 armor pen","Malice / Commoragh Trade, Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","","","","",""
"Blitz Boots","Wearer gains +4 dmg against enemies who have no adjacent allies. Only applies to the first strike or projectile in a burst attack. Also the range of wearer's Dash and Charge abilities is increased by +1 cell","Spyre Peak next to Tervantias","3","","","","","","","","","","","","","","","","","","","","","",""
"Freerunner boots","Become Immune to immobilise and slow","Comorragh: Trade with Tervantias       ","","","","","","","","","","","","","","","","","","","","","","",""
"Spiked Boots","At start of combat inflict (4) bleed on self. Whenever wearer perform area melee attack, inflict (4) bleed on every target hit. Area melee attack deals + (5 x wearer's bleeding level) dmg","Comorragh: Tervantias       ","","","","","","","","","","","","","","","","","","","","","","",""
"Heavy Breacher's Boots","After the wearer makes an area attack, they gain +4MP and can continue their movement","Sire loot DLC quest","4","","","","","","","","","","","","","","","","","","","","","",""
"Enforcer Light Boots","When werarer parries an attack the immediately strike back. If this attack deals dmg the wearer performs Kick to push the enemy away","Mundus Nullius system - Ruined Palace","","","","","","","","","","","","","","","","","","","","","","",""
"Boots of Decay","Each time wearer uses major psychic power, all enemies in their line of sight lose 30% of their deflection until the start of the wearer's next turn","Frozen Prince system - Shard of the holy world","","","","","","","","","","","","","","","","","","","","","","",""
"Cursed Boots (2)","If wearer didn't spend MP, doubles cover eff and gain immunity to forced movements effects til next turn","Drusian rep 21. pf 79","4","","","","","","","","","","","","","","","","","","","","","",""
"Void Veteran Boots","Whenever wearer kills a target with melee attack, wearer gain +1 use of Charge! costing 0AP","Drusian rep 22. 84","4","","","","","","","","","","","","","","","","","","","","","",""
"Boots of Karskin","When in cover, wearer gain 100% cover eff vs aoe attacks (vs previously no) but never dodges them. Suffer -50% dmg from AoE attacks. Whenever wearer use nades and hit 3 enemies for first time in combat, does not spend AP","Drusian rep27. pf 93","4","","","","","","","","","","","","","","","","","","","","","",""
"Stalking Boots","If wearer has melee weapon equipped both hands, their Slash attack makes an addition melee attack with secondary weapon","Kasballica 18. pf78","4","","","","","","","","","","","","","","","","","","","","","",""
"Acrobat's Greaves","At start of combat, gain stacks of acrobat trick = MP. Use stacks to reroll attack or avoid attack","Kasballica 27. pf108","4","","","","","","","","","","","","","","","","","","","","","",""
"Deadly Dancer's Boots","Whenever wearer's MP reach 0, deals MP impact dmg to all adj target (prolly doesn't work this way)","Kasballica 29. pf118","4","","","","","","","","","","","","","","","","","","","","","",""
"Chirugeon Boots","Start of combat, wearer gain use of onslaught and medikit ability for 0AP. Only used once per combat","Void 26. pf 84","4","","","","","","","","","","","","","","","","","","","","","",""
"Navy Breacher's Boot","When wearer's AoE attack hits 2 targets for first time in a round. Wearer gain 2AP and attack not contribute to attack limit. Wearer is immobilized until start of next turn","Void 30. pf105","4","","","","","","","","","","","","","","","","","","","","","",""
"Dancing on Blood","Once per turn, after using Blood Oath or Oath of Vengeance, they gain 1 use of Dash for 0AP until end of turn. Once Dash was used, wearer regain MP = Resolve","Void 32. pf113","4","","","","","","","","","","","","","","","","","","","","","",""
"Hungering Mind","The power of burning effects inflicted by the wearer is increased by +1 for each enemy affected by the wearer's area attacks until the end of combat. This bonus stacks.","Heretic colony event reward","4","","","","","","","","","","","","","","","","","","","","","",""
"Improved Lightweight Boots","Wearer gain 2 x STRb to parry and re-roll dodge  test","Mechanicus 24. pf 88","4","","","","","","","","","","","","","","","","","","","","","",""
"Void Veteran Boots","Upon killing an enemy in melee combat, the character immediately gains 1 use of Dash, which does not require the expenditure of AP (even if the character does not have this ability)","(Void Shadows DLC)
Drusians","4","","","","","","","","","","","","","","","","","","","","","",""
"Acrobat's Greaves","At the beginning of combat, a character gains a number of Acrobatic Stunt levels equal to their Attack Power. These levels can be used until the end of combat.

A character can spend an Acrobatic Stunt level to reroll after an unsuccessful attack (miss, dodge, or parry) or when attempting to avoid a hit.","(Void Shadows DLC)
Kasballica Mission","4","","","","","","","","","","","","","","","","","","","","","",""
"Dancing on Blood","Once per turn, after using Blood Vow or Oath of Vengeance, the character gains one use of Run, which costs no AP, until the end of the turn.

After using this Run, the character regains a number of AP equal to their resolve.","(Void Shadows DLC)
Fellowship of the void","4","","","","","","","","","","","","","","","","","","","","","",""
"Heavy Breacher's Boots","After performing an area attack, the character gains +4 MP and can continue moving.","(Void Shadows DLC)
sire fight","4","","","","","","","","","","","","","","","","","","","","","",""
"Elite Synth-Leather Boots","When a character blocks an attack with a shield for the first time in a round, they gain +2 AP on their next turn.","(Lex Imperialis DLC)
Drusians ","4","","","","","","","","","","","","","","","","","","","","","",""
"Shield-Bearer's Boots","A character can use the Assault Charge ability twice per turn.","(Lex Imperialis DLC) Requires not to bring solomorne to act 3, vheabos 6","4","","","","","","","","","","","","","","","","","","","","","",""
"The Slow March of Death","When using Dash, Dance of Death, Sprint, or Death from Above, the character's damage is increased by ((DEX bonus + PER bonus) / 2) until the end of their turn. Stacks up to 3 times.","(Lex Imperialis DLC)
Leetus","4","","","","","","","","","","","","","","","","","","","","","",""
"Meragon Boots","While under the effect of Merciless Suppression, the character gains immunity to slowing, immobilization, and knockdowns.

The sole is carefully engraved: ""His tread was thunderous, and his name, Meragon, inspired fear in everyone and meant only one thing to his enemies: death.""","(Lex Imperialis DLC)
Palace of Justice,","4","","","","","","","","","","","","","","","","","","","","","",""
"Astral Currents ","Wearer gains +20 MP in the first round of combat. Their movement cost is not reduced by threatened areas. Also, the wearer's movement does not trigger AoO during this round ","Tomb world Epitaph","","","","","","","","","","","","","","","","","","","","","","",""
"Rallying Boots","After wearer uses Following!, the wearer's allies gain +33% dodge bonud to damage on their next attack for each allyy within 2 cell radius from the wearer","Tomb world Epitaph","","","","","","","","","","","","","","","","","","","","","","",""
"Death World Warboots","These boots grant their wearer a +15% Dodge Penetration bonus on attacks with melee weapons.","","","","","","","","","","","","","","","","","","","","","","","",""
"Disciple's Boots","These boots grant their wearer a +50% bonus to Dodge against Attacks of Opportunity from studied enemies.","","","","","","","","","","","","","","","","","","","","","","","",""
"Lightweight Boots","The wearer of these boots receives double their STR Bonus to Parry while wearing a light armour.","","","","","","","","","","","","","","","","","","","","","","","",""
