"Armour Name","https://roguetrader.wh40k.wiki/Category:Armour Category","Deflection","Absorption","Type","Description","Locations","Acts ","Notes","","","","","","","","","","","","","","","","","",""
"Fireblessed Carapace","Medium","0","45","","Gain +2 Defl and +20% armor vs fire dmg. Immunity to Burning, +10% armour against melee","Footfall Cinder","2","","","","","","","","","","","","","","","","","","",""
"Heavy Xeno-mesh","Heavy","5","60","","Deflection + 2 against non-human enemies","kasballica 11. pf 55","2","","","","","","","","","","","","","","","","","","",""
"Hunter Carapace","Medium","0","45","","Base Armour Property: +105 armour if the wearer is in half cover","Vheabos surface","2","","","","","","","","","","","","","","","","","","",""
"Makeshift Heavy Xenomesh","Heavy","4","60","","Deflection + 2 vs non humans+5 wounds","Cradle of Khepri System - Distress Signal","2","","","","","","","","","","","","","","","","","","",""
"Pirate Chainmail","Medium","","50","","","Pirate Rep 4. PF25","2","","","","","","","","","","","","","","","","","","",""
"Psyker's Breastplate","Heavy","4","50","","Deflection +2 if WP > 50. Reduces the chance of triggering psychic phenomena by -10%. If psy phenomena / perils occur, wearer gains +1 Psy Rating until end of combat","kasballica 7. pf62","2","","","","","","","","","","","","","","","","","","",""
"Radiant Chestplate","Heavy","5","55","","Deflection +2 vs area attacks. +7 FEL. -5% Dodge","Langrenns Belt system - Plundered Station ","2","","","","","","","","","","","","","","","","","","",""
"Reinforced Incubus Armour","Medium","","55","Drukhari","Armour +15% vs ranged attack","Palatium Stellos system - Governors camp","2","","","","","","","","","","","","","","","","","","",""
"Reinforced Kabalite Armour","Light","","40","Drukhari","Dodge +15% if AGI > 65","Palatium Stelos: Drukhari Raid","2","","","","","","","","","","","","","","","","","","",""
"Hunter-Father's Armour","Light","","","Aeldari","The character gains +2 AP and the strike of kurnous ability
Strike of Kurnous (1 AP): The character restores all AP and can make an additional attack this turn. Can only be used once per battle.","System Speculio","2","","","","","","","","","","","","","","","","","","",""
"silent death","light","","35","","Whenever wearer suffer trauma and not dead, they immediately regain (Medicae/4) wounds. +10% dodge if WS > 55","drusian 11. pf32","2","","","","","","","","","","","","","","","","","","",""
"Silk Bodyglove","Light","0","40","","Doge + 20% against enemy with lower PER. 10% dodge vs Range","Mech Mer Rep13. PF45","2","","","","","","","","","","","","","","","","","","",""
"spinner's breastplate","light","","30","","Dodge + 10% if AGI > 50. +15 TGH","drusian 8. pf32","2","","","","","","","","","","","","","","","","","","",""
"synskin","light","","25","","Dodge +5% if AGI > 40","Footfall","2","","","","","","","","","","","","","","","","","","",""
"Tempestus Carapace","Heavy","3","50","","Deflection +2 vs ranged attack","Pillars of Viridice - Inquisition Shipwreck","2","","","","","","","","","","","","","","","","","","",""
"Headhunter Light Carapace","Light","2","30","","Awareness / 10 dodge","Aviorus System - Drifting Voidship, Looting Shrieker Arsenal post taking over Den","","","","","","","","","","","","","","","","","","","",""
"Spinner's Breastplate","Light","0","","","world property: +10% to evasion if the character's Agility is above 50. Additional property: +15 to Toughness","Drusians","2","","","","","","","","","","","","","","","","","","",""
"Silent Death","Light","0","","","When injured in combat, a character with more than 0 health immediately recovers (Medicae / 4) health. world property: +10% evasion if the character's Melee is greater than 55.","Drusians","2","","","","","","","","","","","","","","","","","","",""
"High Spinner Armor","Light","0","","","When moving to a square adjacent to the character, the enemy makes a Willpower check to resist, and if they fail, they suffer +1 level of confusion for 2 rounds. world property: +10% to dodge and parry if the character isn't protected by cover.","Drusians","2","","","","","","","","","","","","","","","","","","",""
"Armor of Hidden Promise","Light","0","","","When making an attack, the character gains +3 Agility for each remaining AP before the attack (up to a maximum of +30 Agility). This bonus stacks and lasts until the end of the character's turn.
world property: +10% evasion","(Lex Imperialis DLC) Heartless, you must successfully restore power to the Drukhari machine and pass all the checks and open the sphere.","2","","","","","","","","","","","","","","","","","","",""
"Assault Armor","Medium","0","","","If there are no enemies within 3 cells of the character at the start of their turn, the character gains +4 VP and does not provoke attacks of opportunity until the end of the turn.
world property: +10% armor if there is at least 1 enemy within 3 cells at the start of the character's turn.","(Lex Imperialis DLC) Thassertiuma","2","","","","","","","","","","","","","","","","","","",""
"Breacher's Armor","Medium","0","","","world property: +Knowledge: Imperium% to armor
Additional property: +10 to Perception","Crypt","2","","","","","","","","","","","","","","","","","","",""
"Armor of the Final Threshold","Heavy","1","","Heavy","While the character is at 75% health or higher, their Defense is increased by 3 and their Parry by (Attack / 4).
world property: +1 to Deflection against melee attacks.","Drusians","2","","","","","","","","","","","","","","","","","","",""
"Swordsman Bodyglove","Light","0","","","While the character is below 50% health, their dodge and melee critical strike chance are increased by (2 x AGI bonus)
world property: +10% dodge if Agility is greater than 50","Kasballica Mission","2","","","","","","","","","","","","","","","","","","",""
"Reactivator Armor","Medium","0","","","The Reboot ability's range has been increased by 2 cells.
Using Reboot grants the character (Volume / 5) temporary health.
world property: +(Volume / 10) armor.","(Lex Imperialis DLC) Solomon's Starting Gear","2","","","","","","","","","","","","","","","","","","",""
"Armor of Iron Will","Medium","0","","","When a character blocks an attack, all creatures in adjacent squares make a Fortitude check to resist and, if they fail, gain +1 level of confusion.
world property: +10% armor against ranged attacks.","(Lex Imperialis DLC) Thassertiuma","2","","","","","","","","","","","","","","","","","","",""
"[LD-Pattern] Heavy Leather Armor","Heavy","3","","Heavy","","Shrine encounter","2","","","","","","","","","","","","","","","","","","",""
"Incubus Blade Armour","Medium","","60","Drukhari","Deal 10-15 piercing dmg with 5% armour pen to all target in melee range when wearer makes melee attack. +3 Deflection if WS > 65","Commoragh: Bike by Killed runaway 3 patrol","3","","","","","","","","","","","","","","","","","","",""
"Ranger Armour","Light","","40","Aeldari","grants 15% dodge against non-Aeldari enemies","Commisar / Malice Trade, Looting Shrieker Arsenal post taking over Den","3","","","","","","","","","","","","","","","","","","",""
"Armour of Despair","Medium","","50","Drukhari","All enemies in combat suffer -10 WS and BS, +15 armour against human enemies","","3","","","","","","","","","","","","","","","","","","",""
"Commissar Flak Breatplate","Light","","35","","Grants +INT bonus to WS and BS, +10% dodge if the wearer's INT is more than 65","Looting Commisar Lootbox post kill","3","","","","","","","","","","","","","","","","","","",""
"Venom Chainmail","Medium","","55","","Wearer's AoO deal additional +10 toxic damage. If wearer was attack with AoO, the attacker also suffers toxic damage. +15 armour against ranged attacks","Spire peak, next to Tervantias","3","","","","","","","","","","","","","","","","","","",""
"Ghostplate Armor","Light","0","35","Drukhari","The character gains +(Agility / 3) to Deflection.
World property: +15% to evasion when out of cover.","Third Arena fight","3","","","","","","","","","","","","","","","","","","",""
"Gladiator Mesh Armor","Heavy ","5","65","","Deflection +3 vs melee","Commisar Trade & Turning Materials to Tervintas","3","","","","","","","","","","","","","","","","","","",""
"Incubus Armour","Medium","5","50","","","Common, kill Drukhari enemies","3","","","","","","","","","","","","","","","","","","",""
"Kabalite Armour","Light","2","40","","","Common, kill Drukhari enemies","3","","","","","","","","","","","","","","","","","","",""
"Ceramite Xenochestplate","Medium","","55","","Adds +(Lore Xenos/10) Armor","Tervintas Trade ","3","","","","","","","","","","","","","","","","","","",""
"Wraithbone Woven Battlesuit","Medium","","50","Drukhari","Recover TGHb / 2 wounds each round when wearer affected by effects: Burning, Bleeding, Toxin. +10% armor vs non drukhari","Spyre, Saving Farseer","3","","","","","","","","","","","","","","","","","","",""
"Adherent of Mankind","Power","10","85","Power Armour","If there are no xenos in the squad, the character gains +10 to all stats. Basic Stat: +20 Strength","In a crate to the right of the Commissar's platform","3","","","","","","","","","","","","","","","","","","",""
"Khaine's Revenge","Light","0","45","Aeldari","When a character dodges an attack, they immediately perform a counterattack, which deals (Agility / 5)% weapon damage (up to 100%). The character can counterattack in melee combat even with ranged weapons.","Crone World (Cassia Quest)","4","","","","","","","","","","","","","","","","","","",""
"Wych's Last Cry","Light","0","45","Drukhari","At the beginning of the battle, the character receives the effect of the combat stimulant Serpentine (+15% Armor, Dexterity and Evasion, but -1 base damage and -15% armor penetration) for 3 rounds","Vheabos 6 colony reward","4","","","","","","","","","","","","","","","","","","",""
"Gift of the Grave Lotus","Light","0","55","Drukhari ","At the beginning of the battle, the character receives the effect of the combat stimulant Grave Lotus (+3 - 8 to damage and 3% armor penetration) for 3 rounds.","Sentinel Pride","4","","","","","","","","","","","","","","","","","","",""
"Rib Suit","Heavy","6","75","","When wearer is attacked the attacker gets -2 * deflection % chance to hit. Armour property: +3 deflection if wearer's TGH is more than 75","Sire loot DLC quest","4","","","","","","","","","","","","","","","","","","",""
"Bygone Sorrow","Light","","45","","If Death Cult has 8 or more bloodblessed they gain +1AP and +1 attack per turn. Base property: +10% to dodge and parry of the wearer is not in cover","Kibellah final quest reward","4","","","","","","","","","","","","","","","","","","",""
"Chaos Bodyglove","Light","","40","","Requires rank 1 heretical. Grants +15% more damage to any psyker or navigator power. +10% dodge against non-daemons","Argenta quest location","4","","","","","","","","","","","","","","","","","","",""
"[War World Origin] Crusade plate Armour","Heavy","6","75","","Grants +15 parry and +3 deflection against melee attacks","Footfall - Drussians max rank reward","4","","","","","","","","","","","","","","","","","","",""
"[Fortress World Origin] Tempestus Carapace","Heavy","4","65","","Gives +10TGH. Armour property: +2 deflection against ranged attacks","Mundus Nullius system - Ruined Palace","","","","","","","","","","","","","","","","","","","",""
"Aeldari Farseer Mesh Armour","Medium","","60","Aeldari","Wearer has -20% to suffer critical hit. Armour property: +15% armour if wearer's WP is more than 70","Quetza Temer","","","","","","","","","","","","","","","","","","","",""
"Heavy Xenomesh","Heavy","5","60","","Deflection + 2 against non-human enemies","Footfall Amasecus -  Chorda retinue loot","","","","","","","","","","","","","","","","","","","",""
"Scout Armour","Medium","","60","","Cover Eff + 15%, doubles if not moved this turn. Armor + 15% in full cover","Drusian Rep 20, pf 75","4","","","","","","","","","","","","","","","","","","",""
"Cadian Castellan Carapace","Medium","","70","","Req. Dogmatic Zealot. Cannot fail WP / TGH test in combat. +15% armor if TGH > 70","Drusian rep27. pf 93","4","","","","","","","","","","","","","","","","","","",""
"High Spinner Armour","Light","","45","","Whenever enemy move adj to wearer, must pass WP test or get +1 perplexed for 2 rounds. +10% dodge and parry when not in cover","Drusian rep27. pf 93","4","","","","","","","","","","","","","","","","","","",""
"Modified Artificer Armour","Power","10","85","","Wearer's Heavy attack cost -1AP. +20 STR","Drusian 29. pf105","4","","","","","","","","","","","","","","","","","","",""
"Dragonscale Power Armour","Power","5","80","","Once per round, wearer gain +2 MP/AP if the kill an enemy. +20 STR","Drusian 31. pf101","4","","","","","","","","","","","","","","","","","","",""
"[Fortress] Chaos Light Enf. Carapace","Light","","45","","TGH +15. +20% dodge vs Daemons","Kasballica 28 pf.110","4","","","","","","","","","","","","","","","","","","",""
"Reinf. Voidsman Armour","Medium","","70","","Req. Icono 500. Immune to crits as long as party hasn't been prone.+15% armour","Kasballica 32. pf101","4","","","","","","","","","","","","","","","","","","",""
"Reinforced Rib Suit","Heavy","5","75","","Wearer suffer - (10 + Heretic Rank)% less dmg from direct, mental or warp dmg. Deflection +5 vs humans","Void 28. pf96","4","","","","","","","","","","","","","","","","","","",""
"[War World Origin] Flak Chestplate","Medium","0","35","","Parry + 10%. +5 Armour if no cover.","","","","","","","","","","","","","","","","","","","","",""
"Efficient Breacher's Armour","Medium","","45","","Parry +15%. Armour +15% vs xenos","Void 29. pf101","4","","","","","","","","","","","","","","","","","","",""
"Cultist Armour Plates","Medium","","70","","Req. Heretic 500. Whenever wearer is attacked, attacker must pass WP -20 check or the attack will only deal half dmg on hit and attacker become staggered for 1 round","Void 31. pf101","4","","","","","","","","","","","","","","","","","","",""
"[Forge] Skitarii Ranger Armour","Medium ","","60","","Reject the Flesh ( Pasqal only). - 2 AP reload cost (min 1). + Tech Use / 10 armour ","Explorators 26. pf 104","4","","","","","","","","","","","","","","","","","","",""
"Holy Power Armour","Astartes","8","85","","Whenever wearer suffer max wound / 4 dmg. This armour unleashes energy blast dealing 20-25 dmg with 10% AR pen to any target in melee range. +25 STR","Explorators 28. pf 120","4","","","","","","","","","","","","","","","","","","",""
"Breacher Sergeant Armour","Medium","","65","","Gain 5 + Iconoclast rank for each allies at full wounds at start of turn. Gain PER / 10 Armour","Explorators 29. pf 126","4","","","","","","","","","","","","","","","","","","",""
"[War] Tempest Elite Carapace","Heavy","3","80","","Dodge + 30. Gain Carouse / 10 Deflection","Explorators 35 pf 152","4","","","","","","","","","","","","","","","","","","",""
"Shadow of the Undying one","Light","","45","","Whenever dodge or parry enemy attack gain (3 + Dogm Rank) momentum. +WSb% Parry and AGIb% dodge against ranged attack","Foulstone Event 4","4","","","","","","","","","","","","","","","","","","",""
"Arbitrator Solomon Vhyr's Armor","Heavy","5","85","","When wearer hits ""criminal enemy"" (???), that enemy gain +1 Perplexed for 2 rounds","Foulstone Proj5: Holy Defenders","4","","","","","","","","","","","","","","","","","","",""
"Panoply of the Assassin","Light","","40","","Each round the wearer's dodge is increased by +10% until the end of combat. Resets after any attack made on the wearer. +15% dodge against ranged attacks","Void 34, pf 120. Tomb world Epitaph - RT copy 2/2/2","","","","","","","","","","","","","","","","","","","",""
"The One Star","Power","7","80","Adepta Sororitas","When a character scores a critical hit or kills an enemy, their damage is increased by 5%. world property: +15 Strength","Salis Prime (Argenta path dependant)","4","","","","","","","","","","","","","","","","","","",""
"The One Star","Power","7","80","Adepta Sororitas","After performing a heroic act, the character immediately casts Battle Hymn or Furious Performance (even if the ability's cooldown is not complete). world property: +15 Strength","Salis Prime (Argenta path dependant)","4","","","","","","","","","","","","","","","","","","",""
"Familial Power Armor","Power","7","80","Must not have: Adepta Sororitas","world property: +15 to Strength","Dargonus project","4","","","","","","","","","","","","","","","","","","",""
"Might of Fenris Armor","Power","7","90","Astartes Power Armour","When a character kills an enemy, the cooldown of the Grasp by the Throat ability ends. Basic ability: +25 Strength","Haemonculus Lab - In a crate next to Alpha and Beta's room Athletics check required","4","","","","","","","","","","","","","","","","","","",""
"Sanguine Judgement","Power","7","75","Power Armour","While the character has temporary health, their melee attacks deal 15% more damage. When a character parries an enemy attack, they gain +(TGH bonus) temporary health. world property: +15 Strength","Haemonculus Lab - In a secret compartment behind a closed door in the room with Alpha and Beta","4","","","","","","","","","","","","","","","","","","",""
"Invincible Onslaught Armor","Power","10","75","Power Armour","The character gains the ability to use Dash and Unbreakable Charge. When using Dash, the character deals (2 x deflect) additional direct damage. world property: +15 Strength","Euphrates II- In a secret room near the room with the first control cogitator","4","","","","","","","","","","","","","","","","","","",""
"Thunder Bearer","Power","8","80","Power Armour","The character takes 50% less warp damage. When the character takes damage for the first time in a round, their armor reacts with a lightning strike, dealing 2 (3 + 3 x Psy rating) damage to each creature within a radius. world property: +15 Strength","Fellowship of the void ","4","","","","","","","","","","","","","","","","","","",""
"Modified Breach's Armor","Medium","0","","","Armor belonging to the commander of a boarding party. Its previous owner betrayed the Fleet's awareness of his employers, who turned out to be tech-heretics. In a coordinated attack with the Adeptus Mechanicus, he drenched the decks of the enemy ship in blood, but also met his own death. As a sign of respect, the servants of the Omnissiah preserved and modified his armor, honoring the officer's heroism with new features.
The character gains (5 + Iconoclast rank) temporary health at the start of their turn for each ally with full health.
world property: (Persuasion / 10)% armor","Explorators","4","","","","","","","","","","","","","","","","","","",""
"Enchanted Smuggler's Armor","Heavy","5","","Heavy","The character takes (10 + 2 x Heretic Rank)% less warp damage, as well as psychic and direct damage.
world property: +5 to deflection against human enemies.","Fellowship of the void","4","","","","","","","","","","","","","","","","","","",""
"Efficient Breacher's Armor","Medium","0","","","Base Property: +15% Armor vs. Xenos Enemies
Additional Property: +15% Parry","Fellowship of the void","4","","","","","","","","","","","","","","","","","","",""
"Shadow of the Undying One","Light","0","","","When dodging or parrying an enemy attack, the character gains (3 + Dogmatic rank) Momentum.
world property: +(WS bonus)% to parrying ranged attacks and +(AGI bonus)% to dodging them.","Foulstone with Kibellah","4","","","","","","","","","","","","","","","","","","",""
"Rib Suit","Heavy","6","","Heavy","When an enemy attacks a character, the attacker's critical hit chance with that attack is reduced by (2 x deflect)%
world property: +3 deflection if the character's Toughness is above 75","(Void Shadows DLC) Sire Fight","4","","","","","","","","","","","","","","","","","","",""
"Bygone Sorrow","Light","0","","","If a Death Cult Assassin has 8 or more levels of the Crimson Blessing effect, they gain +1 AP and +1 attack per turn.
world property: +10% to dodge and parry if the character is not protected by cover.","(Void Shadows DLC) Kibellah quest","4","","","","","","","","","","","","","","","","","","",""
"Warrior Armor","Medium","0","","","While the character is below 100% health, their Attack Power is increased by 25 and their Critical Damage is increased by 25%.
world property: +(Attack Power / 10) Armor","(Lex Imperialis DLC) Leethus","4","","","","","","","","","","","","","","","","","","",""
"[Hive World Origin] Voidsman's Armour","Medium","0","","","Grants 15 Perception. Grants +15% armour against human enemies","Side with Chorda against Vladym on footfall to receive 5-7 copies from his body guards","4","","","","","","","","","","","","","","","","","","",""
"Marshal's Armor of the Koronus Expanse","Heavy","5","","","Targets hit by the character's attacks of opportunity are immobilized for 1 round.
world property: +3 to Deflection if Strength is greater than 70","(Lex Imperialis DLC) Palace of Justice","4","","","","","","","","","","","","","","","","","","",""
"Heavy Void Suit","Heavy","7","85","","Wearer suffers -30% less damage from area or burst attacks. +20% armour against human enemies","Sanctum of Taaphetus system - Rocky world Surface","5","","","","","","","","","","","","","","","","","","",""
"Kasrkin Armour","Medium","0","60","","Wearer restores 1AP after killing an enemy (once per roudn). +15% armour if the wearer's WS is more than 70","Iquisition boarding party loot","5","","","","","","","","","","","","","","","","","","",""
"[Daemon World Origin] Chaos Enforcer Carapace","Medium","0","65","","Req heretical rank 1. +20% armour against daemons. +10% armor pen","Tomb world Epitaph - RT heretic copy ","","","","","","","","","","","","","","","","","","","",""
"[Armoury World Origin] Malleus Bodyglove","Light","0","40","","Grants +15% dodge against xenos. Grants +10% hit chance","Tomb world Epitaph - RT heretic copy ","","","","","","","","","","","","","","","","","","","",""
"Sororitas Power Armour","Power","7","80","Adepta Sororitas","After using heroic act, the wearer immediately uses War Hymn or Furious Recital (regardless of its cooldown). +15 STR","Tomb world Epitaph - RT dogmatic copy ","","","","","","","","","","","","","","","","","","","",""
"[Hive World Origin] Voidsman's Armour","Medium","0","65","","Grants 15 Perception. Grants +15% armour against human enemies","Tomb world Epitaph - RT dogmatic copy ","","","","","","","","","","","","","","","","","","","",""
"Phantom-Killer Bodyglove","Light","0","","","The character does not provoke attacks of opportunity and can move through enemy positions.
The character's first attack of the turn does not consume VP and is not counted towards the attack limit per turn, but deals 50% less damage.
world property: +10% to evasion and parry.","(Lex Imperialis DLC) Act 5 necron worlds","5","","","","","","","","","","","","","","","","","","",""
"Last-Ditch Armor","Medium","0","","","When a character's health drops to 0 for the first time in a battle, they remain conscious, immediately regenerate health (TGH bonus + WP bonus), and gain 100 Momentum.
world property: +15% armor against ranged attacks.","(Lex Imperialis DLC) Epitaph","5","","","","","","","","","","","","","","","","","","",""
